"","DOI","Title","trimmed_title","CombinedCites","CombinedAuthors","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","DOI_missing","CitationURL","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","FullTextURL","RelatedURL"
"15","10.1177/0146167216678858","Utopian hopes or dystopian fears? Exploring the motivational underpinnings of moralized political engagement","utopian hopes or dystopian fears exploring the mot",60,"LJ Skitka, BE Hanson, ...",2017,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216678858","https://scholar.google.com/scholar?cites=1544622586348467988&as_sdt=2005&sciodt=0,5&hl=en",34,FALSE,NA,60,10,20,3,6,"People are more likely to become politically engaged (eg, vote, engage in activism) when issues are associated with strong moral convictions. The goal of this research was to …","https://lskitka.people.uic.edu/Utopian.pdf","https://scholar.google.com/scholar?q=related:FHdY-w6abxUJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"16","10.1177/0146167216678859","Women's fertility status alters other women's jealousy and mate guarding","womens fertility status alters other womens jealou",28,"AC Hurst, JL Alquist, DA Puts",2017,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216678859","https://scholar.google.com/scholar?cites=17570145959254722221&as_sdt=2005&sciodt=0,5&hl=en",76,FALSE,NA,28,4.67,9,3,6,"Across three studies, we tested the hypothesis that women exhibit greater jealousy and mate guarding toward women who are in the high (vs. low) fertility phase of their cycle. Women …","https://beel.la.psu.edu/files/2022/05/hurst-et-al-2017-womens-fertility-status.pdf","https://scholar.google.com/scholar?q=related:rYYkyaiy1fMJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"17","10.1177/0146167216678860","Strangers with benefits: Attraction to outgroup men increases as fertility increases across the menstrual cycle","strangers with benefits attraction to outgroup men",12,"JF Salvatore, AL Meltzer, DS March, ...",2017,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216678860","https://scholar.google.com/scholar?cites=16030904162520874367&as_sdt=2005&sciodt=0,5&hl=en",106,FALSE,NA,12,2,3,4,6,"Research typically reveals that outgroups are regarded with disinterest at best and hatred and enmity at worst. Working from an evolutionary framework, we identify a unique pattern of …","https://andreameltzer.com/wp-content/uploads/2019/09/PSPB-2017-Salvatore-et-al..pdf","https://scholar.google.com/scholar?q=related:fz1jg2Y2ed4J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"18","10.1177/0146167216678861","Agents of reconciliation: agency-affirmation promotes constructive tendencies following transgressions in low-commitment relationships","agents of reconciliation agencyaffirmation promote",17,"I SimanTov-Nachlieli, N Shnabel, ...",2017,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216678861","https://scholar.google.com/scholar?cites=2921713381486407764&as_sdt=2005&sciodt=0,5&hl=en",96,FALSE,NA,17,2.83,6,3,6,"Conflicting parties experience threats to both their agency and morality, but the experience of agency-threat exerts more influence on their behavior, leading to relationship-destructive …","http://socsci3.tau.ac.il/nurit-shnebel/wp-content/uploads/2017/05/Pers-Soc-Psychol-Bull-2016-SimanTov-Nachlieli-0146167216678861.pdf","https://scholar.google.com/scholar?q=related:VLAAL9cCjCgJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"19","10.1177/0146167216678862","Is comparison the thief of joy? Sexual narcissism and social comparisons in the domain of sexuality","is comparison the thief of joy sexual narcissism a",10,"LC Day, A Muise, EA Impett",2017,"… and Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216678862","https://scholar.google.com/scholar?cites=13331257207859512807&as_sdt=2005&sciodt=0,5&hl=en",115,FALSE,NA,10,1.67,3,3,6,"Are people who are high in sexual narcissism more sensitive to information comparing their sex lives with the sex lives of others? Does this sensitivity explain narcissists' lower sexual …","https://www.amymuise.com/s/Is-Comparison-the-Thief-of-Joy-Sexual-Narcissism-and-Social-Comparisons-in-the-Domain-of-Sexuality.pdf","https://scholar.google.com/scholar?q=related:5wXVa8wjArkJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"20","10.1177/0146167216679642","Initial mainstream cultural orientations predict early social participation in the mainstream cultural group","initial mainstream cultural orientations predict e",18,"MM Doucerain, SS Deschênes, ...",2017,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216679642","https://scholar.google.com/scholar?cites=2245557936724034296&as_sdt=2005&sciodt=0,5&hl=en",99,FALSE,NA,18,3,6,3,6,"This work adopts a perspective that construes acculturation as a dynamic intergroup process, and social contact with members of the new community as a key mechanism …","https://spectrum.library.concordia.ca/id/eprint/988873/1/2017%20-%20Doucerain%20et%20al.pdf","https://scholar.google.com/scholar?q=related:-ML-xAvTKR8J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"21","10.1177/0146167216679981","Salient multiculturalism enhances minority group members' feelings of power","salient multiculturalism enhances minority group m",14,"JD Vorauer, MS Quesnel",2017,"… and Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216679981","https://scholar.google.com/scholar?cites=13824279234326892827&as_sdt=2005&sciodt=0,5&hl=en",105,FALSE,NA,14,2.33,7,2,6,"The present research examined how messages advocating different intergroup ideologies affect outcomes relevant to minority group members' ability to exert power in exchanges with …",NA,"https://scholar.google.com/scholar?q=related:GxHdLbi02b8J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"22","10.1177/0146167216684123","For the sake of the eternal group: Perceiving the group as trans-generational and endurance of ingroup suffering","for the sake of the eternal group perceiving the g",66,"DT Kahn, Y Klar, S Roccas",2017,"… and Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216684123","https://scholar.google.com/scholar?cites=662578126213288078&as_sdt=2005&sciodt=0,5&hl=en",32,FALSE,NA,66,11,22,3,6,"We introduce the distinction between perceiving the group as Intra-Generational (IG; including only the present generation of group members) and Trans-Generational (TG; …","https://www.academia.edu/download/53251261/Kahn_et_al_2017_PSPB.pdf","https://scholar.google.com/scholar?q=related:jhDjmEvzMQkJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"23","10.1177/0146167216684124","More than just sex: Affection mediates the association between sexual activity and well-being","more than just sex affection mediates the associat",101,"A Debrot, N Meuwly, A Muise, ...",2017,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216684124","https://scholar.google.com/scholar?cites=1051428608625788397&as_sdt=2005&sciodt=0,5&hl=en",18,FALSE,NA,101,16.83,25,4,6,"Positive interpersonal interactions such as affection are central to well-being. Sex is associated with greater individual well-being, but little is known about why this occurs. We …","https://serval.unil.ch/resource/serval:BIB_A3CB1DC21178.P001/REF.pdf","https://scholar.google.com/scholar?q=related:7cXSs79slw4J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"24","10.1177/0146167216684131","Temporal stability of implicit and explicit measures: A longitudinal analysis","temporal stability of implicit and explicit measur",253,"B Gawronski, M Morrison, CE Phills, ...; B Gawronski, M Morrison…",2019,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216684131","https://scholar.google.com/scholar?cites=16305730842908975629&as_sdt=2005&sciodt=0,5&hl=en",4,FALSE,NA,253,42.17,63,4,6,"A common assumption about implicit measures is that they reflect early experiences, whereas explicit measures are assumed to reflect recent experiences. This assumption …","http://www.bertramgawronski.com/documents/GMPG2017PSPB.pdf","https://scholar.google.com/scholar?q=related:DWK4Zs-XSeIJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"25","10.1177/0146167216684132","Foundational tests of the need-support model: A framework for bridging regulatory focus theory and self-determination theory","foundational tests of the needsupport model a fram",55,"LA Vaughn",2017,"Personality and Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216684132","https://scholar.google.com/scholar?cites=10117554405081433372&as_sdt=2005&sciodt=0,5&hl=en",39,FALSE,NA,55,9.17,55,1,6,"This article introduces the need-support model, which proposes that regulatory focus can affect subjective support for the needs proposed by self-determination theory (autonomy …","https://osf.io/eucqr/download","https://scholar.google.com/scholar?q=related:HEWRViDGaIwJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"26","10.1177/0146167216684133","Societal conditions and the gender difference in well-being: Testing a three-stage model","societal conditions and the gender difference in w",89,"M Zuckerman, C Li, EF Diener",2017,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216684133","https://scholar.google.com/scholar?cites=4470397636869970495&as_sdt=2005&sciodt=0,5&hl=en",25,FALSE,NA,89,14.83,30,3,6,"Findings from a meta-analysis on gender differences in self-esteem (Zuckerman et al., 2016) suggest that the relation between the degree to which societal conditions are favorable to …",NA,"https://scholar.google.com/scholar?q=related:P1phLvcKCj4J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"27","10.1177/0146167216684134","Sadism, the intuitive system, and antisocial punishment in the public goods game","sadism the intuitive system and antisocial punishm",56,"S Pfattheicher, J Keller, ...",2017,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216684134","https://scholar.google.com/scholar?cites=2428589924851872312&as_sdt=2005&sciodt=0,5&hl=en",38,FALSE,NA,56,9.33,19,3,6,"In public goods situations, a specific destructive behavior emerges when individuals face the possibility of punishing others: antisocial punishment, that is, costly punishing cooperative …","https://www.researchgate.net/profile/Stefan-Pfattheicher-2/publication/313035503_Sadism_the_Intuitive_System_and_Antisocial_Punishment_in_the_Public_Goods_Game/links/5fca2c2992851c00f84cf3ab/Sadism-the-Intuitive-System-and-Antisocial-Punishment-in-the-Public-Goods-Game.pdf","https://scholar.google.com/scholar?q=related:OHLjX6sVtCEJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"28","10.1177/0146167216685291","Toward a comprehensive understanding of intergroup contact: Descriptions and mediators of positive and negative contact among majority and minority groups","toward a comprehensive understanding of intergroup",202,"LE Hayward, LR Tropp, MJ Hornsey, ...",2017,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216685291","https://scholar.google.com/scholar?cites=9806983325274021957&as_sdt=2005&sciodt=0,5&hl=en",6,FALSE,NA,202,33.67,51,4,6,"Positive contact predicts reduced prejudice, but negative contact may increase prejudice at a stronger rate. The current project builds on this work in four ways: establishing an …","https://www.academia.edu/download/66510210/e39188ff4f4b1a7cbdf7c71c82e78ab4a924.pdf","https://scholar.google.com/scholar?q=related:RSAj7V9nGYgJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"29","10.1177/0146167216685292","Attachment and self-regulation","attachment and selfregulation",42,"E Orehek, A Vazeou-Nieuwenhuis, ...",2017,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216685292","https://scholar.google.com/scholar?cites=9047207351139283337&as_sdt=2005&sciodt=0,5&hl=en",53,FALSE,NA,42,7,14,3,6,"Close relationships and self-regulation are inextricably intertwined, yet many of the details regarding how interpersonal processes influence self-regulation are not well understood. To …","https://www.researchgate.net/profile/Edward-Orehek/publication/313036983_Attachment_and_Self-Regulation/links/59fb3586aca272347a1d18d9/Attachment-and-Self-Regulation.pdf","https://scholar.google.com/scholar?q=related:ibH11SYjjn0J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"30","10.1177/0146167216686560","How moral perceptions influence intergroup tolerance: Evidence from Lebanon, Morocco, and the United States","how moral perceptions influence intergroup toleran",20,"N Obeid, N Argo, J Ginges",2017,"… and Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216686560","https://scholar.google.com/scholar?cites=10145190187261104075&as_sdt=2005&sciodt=0,5&hl=en",94,FALSE,NA,20,3.33,7,3,6,"Intergroup boundaries are often associated with differences in moral codes. How does the perception of similarity and dissimilarity in moral worldviews influence tolerant relationships …","https://www.academia.edu/download/50927344/ARGO.MoralPerceptions.Intergroup2016.pdf","https://scholar.google.com/scholar?q=related:yw96Srn0yowJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"31","10.1177/0146167216686561","Authoritarianism, institutional confidence, and willingness to engage in collective action: A multinational analysis","authoritarianism institutional confidence and will",22,"E Weiner, CM Federico",2017,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216686561","https://scholar.google.com/scholar?cites=14171318391239354189&as_sdt=2005&sciodt=0,5&hl=en",92,FALSE,NA,22,3.67,11,2,6,"The antecedents of collective action have received considerable attention in psychology, political science, and sociology. However, few studies have addressed the extent to which …","https://www.researchgate.net/profile/Elliot-Weiner/publication/315448131_Authoritarianism_Institutional_Confidence_and_Willingness_to_Engage_in_Collective_Action_A_Multinational_Analysis/links/6024c1f0299bf1cc26b9644a/Authoritarianism-Institutional-Confidence-and-Willingness-to-Engage-in-Collective-Action-A-Multinational-Analysis.pdf","https://scholar.google.com/scholar?q=related:TSfIdP6iqsQJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"32","10.1177/0146167216686661","Post-fight respect signals valuations of opponent's fighting performance","postfight respect signals valuations of opponents ",15,"MN Pham, N Barbaro, JK Mogilski, ...",2017,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216686661","https://scholar.google.com/scholar?cites=5707074184679214820&as_sdt=2005&sciodt=0,5&hl=en",103,FALSE,NA,15,2.5,4,4,6,"The current research explores whether humans process inputs about combat (eg, assessments of formidability) that produce outputs of post-fight respect (eg, shaking an …","https://www.researchgate.net/profile/Todd-Shackelford/publication/311257158_Post-Fight_Respect_Signals_Valuations_of_Opponent's_Fighting_Performance/links/61a0fe6ff1d62445716cbbbd/Post-Fight-Respect-Signals-Valuations-of-Opponents-Fighting-Performance.pdf","https://scholar.google.com/scholar?q=related:5E6bzLuZM08J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"33","10.1177/0146167216688202","Permeability of group boundaries: Development of the concept and a scale","permeability of group boundaries development of th",35,"BM Armenta, K Stroebe, S Scheibe, ...",2017,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216688202","https://scholar.google.com/scholar?cites=14352358714178365325&as_sdt=2005&sciodt=0,5&hl=en",62,FALSE,NA,35,5.83,9,4,6,"The perceived possibility of movement between groups, referred to as permeability of group boundaries, is considered a key factor in explaining intergroup relations. However, so far …","https://research.rug.nl/files/38942481/PSPB688202.pdf","https://scholar.google.com/scholar?q=related:jWeVXzXSLccJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
