"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","FullTextURL","RelatedURL","year"
"11",125,"BP Doré, RR Morris, DA Burr, ...","Helping others regulate emotion predicts increased regulation of one's own emotions and decreased symptoms of depression",2017,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167217695558","https://scholar.google.com/scholar?cites=8799003365470758522&as_sdt=2005&sciodt=0,5&hl=en",11,2023-09-25 13:27:02,NA,"10.1177/0146167217695558",NA,NA,NA,NA,NA,NA,125,20.83,31,4,6,"Although much research considers how individuals manage their own emotions, less is known about the emotional benefits of regulating the emotions of others. We examined this …","https://dukespace.lib.duke.edu/dspace/bitstream/handle/10161/19219/0146167217695558.pdf?sequence=2&isAllowed=y","https://scholar.google.com/scholar?q=related:euZZGPFWHHoJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",2017
"12",114,"DC Wisneski, LJ Skitka","Moralization through moral shock: Exploring emotional antecedents to moral conviction",2017,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216676479","https://scholar.google.com/scholar?cites=5738212905681412955&as_sdt=2005&sciodt=0,5&hl=en",12,2023-09-25 13:27:02,NA,"10.1177/0146167216676479",NA,NA,NA,NA,NA,NA,114,19,57,2,6,"The current research tested whether exposure to disgusting images increases moral conviction and whether this happens in the presence of incidental disgust cues versus …","https://lskitka.people.uic.edu/MoralShock.pdf","https://scholar.google.com/scholar?q=related:W-OzQDw6ok8J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",2017
"13",109,"HL Fritz, LN Russek, MM Dillon","Humor use moderates the relation of stressful life events with psychological distress",2017,"… social psychology bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167217699583","https://scholar.google.com/scholar?cites=4316085117735197722&as_sdt=2005&sciodt=0,5&hl=en",13,2023-09-25 13:27:02,NA,"10.1177/0146167217699583",NA,NA,NA,NA,NA,NA,109,18.17,36,3,6,"Three studies examined humor and adjustment to stressful events. In Study 1, patients with fibromyalgia syndrome (N= 22) reported on mental and physical adjustment, social …",NA,"https://scholar.google.com/scholar?q=related:Gtz0BozQ5TsJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",2017
"14",107,"N Schori-Eyal, Y Klar, S Roccas, ...","The shadows of the past: Effects of historical group trauma on current intergroup conflicts",2017,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216689063","https://scholar.google.com/scholar?cites=9716680484183729597&as_sdt=2005&sciodt=0,5&hl=en",14,2023-09-25 13:27:02,NA,"10.1177/0146167216689063",NA,NA,NA,NA,NA,NA,107,17.83,27,4,6,"We examined associations between two orientations based on historical group trauma, a form of enduring group victimhood (Perpetual Ingroup Victimhood Orientation [PIVO]) and …","https://nrl.northumbria.ac.uk/id/eprint/30188/1/pre_pub_paper.pdf","https://scholar.google.com/scholar?q=related:veW9T2uV2IYJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",2017
"15",110,"K Woolley, A Fishbach","Immediate rewards predict adherence to long-term goals",2017,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216676480","https://scholar.google.com/scholar?cites=4702848185908997771&as_sdt=2005&sciodt=0,5&hl=en",15,2023-09-25 13:27:02,NA,"10.1177/0146167216676480",NA,NA,NA,NA,NA,NA,110,18.33,55,2,6,"People primarily pursue long-term goals, such as exercising, to receive delayed rewards (eg, improved health). However, we find that the presence of immediate rewards is a …","https://www.academia.edu/download/53407523/Woolley_FishbachPSPB.pdf","https://scholar.google.com/scholar?q=related:iy6yIYLfQ0EJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",2017
"16",107,"D Osborne, P Milojev, ...","Authoritarianism and national identity: Examining the longitudinal effects of SDO and RWA on nationalism and patriotism",2017,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167217704196","https://scholar.google.com/scholar?cites=2323917077138953589&as_sdt=2005&sciodt=0,5&hl=en",16,2023-09-25 13:27:02,NA,"10.1177/0146167217704196",NA,NA,NA,NA,NA,NA,107,17.83,36,3,6,"The resurgence of right-wing political parties across the globe raises questions about the origins of national identity. Based on the Dual Process Model of Ideology and Prejudice, we …","https://www.academia.edu/download/53047816/Osborne_et_al._in_press._Authoritarianism_and_national_identity.pdf","https://scholar.google.com/scholar?q=related:ddVU3kQ2QCAJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",2017
"17",106,"E Orehek, LJ Human","Self-expression on social media: Do tweets present accurate and positive portraits of impulsivity, self-esteem, and attachment style?",2017,"Personality and social psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216675332","https://scholar.google.com/scholar?cites=6411981430912268331&as_sdt=2005&sciodt=0,5&hl=en",17,2023-09-25 13:27:02,NA,"10.1177/0146167216675332",NA,NA,NA,NA,NA,NA,106,17.67,53,2,6,"Self-expression values are at an all-time high, and people are increasingly relying upon social media platforms to express themselves positively and accurately. We examined …","https://www.academia.edu/download/51487991/OrehekHumanPSPB.pdf","https://scholar.google.com/scholar?q=related:KzjtpyPv-1gJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",2017
"18",101,"A Debrot, N Meuwly, A Muise, ...","More than just sex: Affection mediates the association between sexual activity and well-being",2017,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216684124","https://scholar.google.com/scholar?cites=1051428608625788397&as_sdt=2005&sciodt=0,5&hl=en",18,2023-09-25 13:27:02,NA,"10.1177/0146167216684124",NA,NA,NA,NA,NA,NA,101,16.83,25,4,6,"Positive interpersonal interactions such as affection are central to well-being. Sex is associated with greater individual well-being, but little is known about why this occurs. We …","https://serval.unil.ch/resource/serval:BIB_A3CB1DC21178.P001/REF.pdf","https://scholar.google.com/scholar?q=related:7cXSs79slw4J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",2017
"19",102,"J Van der Toorn, JT Jost, DJ Packer, ...","In defense of tradition: Religiosity, conservatism, and opposition to same-sex marriage in North America",2017,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167217718523","https://scholar.google.com/scholar?cites=16980175796049272947&as_sdt=2005&sciodt=0,5&hl=en",19,2023-09-25 13:27:02,NA,"10.1177/0146167217718523",NA,NA,NA,NA,NA,NA,102,17,26,4,6,"Arguments opposing same-sex marriage are often made on religious grounds. In five studies conducted in the United States and Canada (combined N= 1,673), we observed that …","https://journals.sagepub.com/doi/full/10.1177/0146167217718523","https://scholar.google.com/scholar?q=related:c-Az8-uzpesJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",2017
"20",99,"X Hu, B Gawronski, R Balas","Propositional versus dual-process accounts of evaluative conditioning: I. The effects of co-occurrence and relational information on implicit and explicit evaluations",2017,"… and Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216673351","https://scholar.google.com/scholar?cites=16181823135856024197&as_sdt=2005&sciodt=0,5&hl=en",20,2023-09-25 13:27:02,NA,"10.1177/0146167216673351",NA,NA,NA,NA,NA,NA,99,16.5,33,3,6,"Evaluative conditioning (EC) is defined as the change in the evaluation of a conditioned stimulus (CS) due to its pairing with a valenced unconditioned stimulus (US). According to …","http://bertramgawronski.com/documents/HGB2017PSPB.pdf","https://scholar.google.com/scholar?q=related:hVrlNmhikeAJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",2017
"21",98,"G Itzchakov, AN Kluger, ...","I am aware of my inconsistencies but can tolerate them: The effect of high quality listening on speakers' attitude ambivalence",2017,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216675339","https://scholar.google.com/scholar?cites=13788393423300438286&as_sdt=2005&sciodt=0,5&hl=en",21,2023-09-25 13:27:02,NA,"10.1177/0146167216675339",NA,NA,NA,NA,NA,NA,98,16.33,33,3,6,"We examined how listeners characterized by empathy and a non-judgmental approach affect speakers' attitude structure. We hypothesized that high quality listening decreases …","https://www.academia.edu/download/91002689/854a1620cc751d8ca484765b40e8e5b2a581.pdf","https://scholar.google.com/scholar?q=related:Dqkns8M2Wr8J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",2017
"22",91,"SO Roberts, AK Ho, M Rhodes, ...","Making boundaries great again: Essentialism and support for boundary-enhancing initiatives",2017,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167217724801","https://scholar.google.com/scholar?cites=4120941836162599536&as_sdt=2005&sciodt=0,5&hl=en",22,2023-09-25 13:27:02,NA,"10.1177/0146167217724801",NA,NA,NA,NA,NA,NA,91,15.17,23,4,6,"Psychological essentialism entails a focus on category boundaries (eg, categorizing people as men or women) and an increase in the conceptual distance between those boundaries …","http://kidconcepts.org/s/0146167217724801.pdf","https://scholar.google.com/scholar?q=related:cIqELMSGMDkJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",2017
"23",95,"JT Cacioppo, HY Chen, ...","Reciprocal influences between loneliness and self-centeredness: A cross-lagged panel analysis in a population-based sample of African American, Hispanic, and …",2017,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167217705120","https://scholar.google.com/scholar?cites=8065842290832611608&as_sdt=2005&sciodt=0,5&hl=en",23,2023-09-25 13:27:02,NA,"10.1177/0146167217705120",NA,NA,NA,NA,NA,NA,95,15.83,32,3,6,"Loneliness has been posited to increase the motivation to repair or replace deficient social relationships and, seemingly paradoxically, to increase the implicit motivation for self …",NA,"https://scholar.google.com/scholar?q=related:GJlmL9Sg728J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",2017
"24",85,"N Legate, RM Ryan, RD Rogge","Daily autonomy support and sexual identity disclosure predicts daily mental and physical health outcomes",2017,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167217700399","https://scholar.google.com/scholar?cites=16373642695582912801&as_sdt=2005&sciodt=0,5&hl=en",24,2023-09-25 13:27:02,NA,"10.1177/0146167217700399",NA,NA,NA,NA,NA,NA,85,14.17,28,3,6,"Using a daily diary methodology, we examined how social environments support or fail to support sexual identity disclosure, and associated mental and physical health outcomes …","https://www.researchgate.net/profile/Nicole-Legate/publication/316530218_Daily_Autonomy_Support_and_Sexual_Identity_Disclosure_Predicts_Daily_Mental_and_Physical_Health_Outcomes/links/5bfdc76c4585157b81729f17/Daily-Autonomy-Support-and-Sexual-Identity-Disclosure-Predicts-Daily-Mental-and-Physical-Health-Outcomes.pdf","https://scholar.google.com/scholar?q=related:IZFjxUfdOuMJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",2017
"25",89,"M Zuckerman, C Li, EF Diener","Societal conditions and the gender difference in well-being: Testing a three-stage model",2017,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216684133","https://scholar.google.com/scholar?cites=4470397636869970495&as_sdt=2005&sciodt=0,5&hl=en",25,2023-09-25 13:27:02,NA,"10.1177/0146167216684133",NA,NA,NA,NA,NA,NA,89,14.83,30,3,6,"Findings from a meta-analysis on gender differences in self-esteem (Zuckerman et al., 2016) suggest that the relation between the degree to which societal conditions are favorable to …",NA,"https://scholar.google.com/scholar?q=related:P1phLvcKCj4J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",2017
"26",81,"MA Fuesting, AB Diekman","Not by success alone: Role models provide pathways to communal opportunities in STEM",2017,"… and Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216678857","https://scholar.google.com/scholar?cites=9363313875494439161&as_sdt=2005&sciodt=0,5&hl=en",26,2023-09-25 13:27:02,NA,"10.1177/0146167216678857",NA,NA,NA,NA,NA,NA,81,13.5,41,2,6,"Because of stereotypes that science, technology, engineering, and mathematics (STEM) fields do not fulfill communal goals, communally oriented individuals may select out of …",NA,"https://scholar.google.com/scholar?q=related:-QhVXVws8YEJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",2017
"27",80,"M Ghassemi, K Bernecker, ...","The process of disengagement from personal goals: Reciprocal influences between the experience of action crisis and appraisals of goal desirability and attainability",2017,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216689052","https://scholar.google.com/scholar?cites=16908699726905935098&as_sdt=2005&sciodt=0,5&hl=en",27,2023-09-25 13:27:02,NA,"10.1177/0146167216689052",NA,NA,NA,NA,NA,NA,80,13.33,27,3,6,"To date, it is not well understood how individuals disengage from goals. A recent approach suggests that disengagement is often preceded by an action crisis, a motivational conflict in …",NA,"https://scholar.google.com/scholar?q=related:-gT5w9DEp-oJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",2017
"28",78,"WE Thomas, R Brown, MJ Easterbrook, ...","Social identification in sports teams: The role of personal, social, and collective identity motives",2017,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216689051","https://scholar.google.com/scholar?cites=1876720143979555538&as_sdt=2005&sciodt=0,5&hl=en",28,2023-09-25 13:27:02,NA,"10.1177/0146167216689051",NA,NA,NA,NA,NA,NA,78,13,20,4,6,"Based on motivated identity construction theory (MICT; Vignoles, 2011), we offer an integrative approach examining the combined roles of six identity motives (self-esteem …","https://core.ac.uk/download/pdf/74226607.pdf","https://scholar.google.com/scholar?q=related:0qq4FAdzCxoJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",2017
"29",67,"O Gillath, GC Karantzas, ...","A net of friends: Investigating friendship by integrating attachment theory and social network analysis",2017,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167217719731","https://scholar.google.com/scholar?cites=12030886718109753010&as_sdt=2005&sciodt=0,5&hl=en",29,2023-09-25 13:27:02,NA,"10.1177/0146167217719731",NA,NA,NA,NA,NA,NA,67,11.17,22,3,6,"The current article focuses on attachment style—an individual difference widely studied in the field of close relationships—and its application to the study of social networks …","http://myweb.sabanciuniv.edu/emreselcuk/files/2019/09/GillathKarantzasSelcuk17.pdf","https://scholar.google.com/scholar?q=related:sp7lTbpL9qYJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",2017
"30",70,"AB Cohen, GL Mazza, KA Johnson, ...","Theorizing and measuring religiosity across cultures",2017,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167217727732","https://scholar.google.com/scholar?cites=4429891818589790462&as_sdt=2005&sciodt=0,5&hl=en",30,2023-09-25 13:27:02,NA,"10.1177/0146167217727732",NA,NA,NA,NA,NA,NA,70,11.67,18,4,6,"For almost 50 years, psychologists have been theorizing about and measuring religiosity essentially the way Gordon Allport did, when he distinguished between intrinsic and …","https://www.researchgate.net/profile/Michael-Pasek-2/publication/319284408_Theorizing_and_Measuring_Religiosity_Across_Cultures/links/59e039c345851537160164d9/Theorizing-and-Measuring-Religiosity-Across-Cultures.pdf","https://scholar.google.com/scholar?q=related:_iB0cCMjej0J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",2017
"31",64,"R Wölfer, E Jaspers, D Blaylock, ...","Studying positive and negative direct and extended contact: Complementing self-reports with social network analysis",2017,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167217719732","https://scholar.google.com/scholar?cites=11087450997583086304&as_sdt=2005&sciodt=0,5&hl=en",31,2023-09-25 13:27:02,NA,"10.1177/0146167217719732",NA,NA,NA,NA,NA,NA,64,10.67,16,4,6,"Traditionally, studies of intergroup contact have primarily relied on self-reports, which constitute a valid method for studying intergroup contact, but has limitations, especially if …","https://ora.ox.ac.uk/objects/uuid:05147071-6b68-4bf1-a8c9-9ffc4bfab8a0/download_file?file_format=pdf&safe_filename=Outline_9th%2Bdraft.pdf&type_of_work=Journal+article","https://scholar.google.com/scholar?q=related:4IJ9P_CJ3pkJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",2017
"32",66,"DT Kahn, Y Klar, S Roccas","For the sake of the eternal group: Perceiving the group as trans-generational and endurance of ingroup suffering",2017,"… and Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167216684123","https://scholar.google.com/scholar?cites=662578126213288078&as_sdt=2005&sciodt=0,5&hl=en",32,2023-09-25 13:27:02,NA,"10.1177/0146167216684123",NA,NA,NA,NA,NA,NA,66,11,22,3,6,"We introduce the distinction between perceiving the group as Intra-Generational (IG; including only the present generation of group members) and Trans-Generational (TG; …","https://www.academia.edu/download/53251261/Kahn_et_al_2017_PSPB.pdf","https://scholar.google.com/scholar?q=related:jhDjmEvzMQkJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017",2017
