X,Reason,Title,DOI,trimmed_title,CombinedCites,CombinedAuthors,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,DOI_missing,CitationURL,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
36,Missed in download,Affective contingencies of narcissism.,MISSING_DOI_affective contingencies of narcissism,affective contingencies of narcissism,8,"S Grapsas, E Brummelman, M Dufner…",2022,… and Social Psychology,psycnet.apa.org,https://psycnet.apa.org/record/2022-27204-001,"https://scholar.google.com/scholar?cites=14563155054963332623&as_sdt=2005&sciodt=0,5&hl=en",66,TRUE,NA,8,8,2,4,1,"Several theories propose that narcissism is rooted in affective contingencies. Given narcissists' focus on power, these contingencies should be strong in the power domain but …",https://research.tilburguniversity.edu/files/56707631/Grapsas_Motivational_2_9_2021_emb_tot_2_9_2022.pdf#page=50,"https://scholar.google.com/scholar?q=related:DxYGFF24GsoJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
39,NOT JPSP,"American Association on Mental Retardation.(2005). Ritardo Mentale: Definizione, Classifi-cazione e Sistemi di Sostegno.(10a edizione). Brescia: Vannini …",MISSING_DOI_american association on mental retardation2005 rit,american association on mental retardation2005 rit,0,"TM Amabile, W DeJong, M Lepper…",2017,… Personality and Social Psychology,NA,NA,NA,109,TRUE,NA,0,0,0,4,#NAME?,NA,NA,"https://scholar.google.com/scholar?q=related:A_vrYofVXzsJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
42,INCLUDED- punctuation,And the winner is...? Forecasting the outcome of others' competitive efforts.,MISSING_DOI_and the winner is forecasting the outcome of other,and the winner is forecasting the outcome of other,3,"D Kupor, MS Brucks, SC Huang",2019,Journal of Personality and Social …,psycnet.apa.org,https://psycnet.apa.org/record/2019-27720-001,"https://scholar.google.com/scholar?cites=4111042901370138846&as_sdt=2005&sciodt=0,5&hl=en",112,TRUE,NA,3,0.75,1,3,4,"People frequently forecast the outcomes of competitive events. Some forecasts are about oneself (eg, forecasting how one will perform in an athletic competition, school or job …",NA,"https://scholar.google.com/scholar?q=related:3vCO0LxbDTkJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
43,INCLUDED- punctuation,(Anti-) egalitarianism differentially predicts empathy for members of advantaged versus disadvantaged groups.,MISSING_DOI_anti egalitarianism differentially predicts empath,anti egalitarianism differentially predicts empath,34,"BJ Lucas, NS Kteily",2018,Journal of Personality and Social Psychology,psycnet.apa.org,https://psycnet.apa.org/journals/psp/114/5/665/,"https://scholar.google.com/scholar?cites=9038614483234101075&as_sdt=2005&sciodt=0,5&hl=en",75,TRUE,NA,34,6.8,17,2,5,"We explore the relationship between group-based egalitarianism and empathy for members of advantaged groups (eg, corporate executives; state officials) versus disadvantaged …",NA,"https://scholar.google.com/scholar?q=related:U5fe3vubb30J:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
53,NOT AN ARTICLE,Attendees of the Dignity Symposium. 2022. Dignity Research Agenda Consensus Statement. IDinsight Dignity Initiative,MISSING_DOI_attendees of the dignity symposium 2022 dignity re,attendees of the dignity symposium 2022 dignity re,0,T Wein,2022,NA,idinsight.org,https://www.idinsight.org/wp-content/uploads/2022/11/Research-Agenda-Consensus-Statement.pdf,NA,151,TRUE,NA,0,0,0,1,1,"This consensus statement on the research agenda on dignity will serve as a reference for those in academia and adjacent research fields proposing to study dignity, respect and its …",https://www.idinsight.org/wp-content/uploads/2022/11/Research-Agenda-Consensus-Statement.pdf,"https://scholar.google.com/scholar?q=related:W3iQpT5QEykJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
58,INCLUDED- punctuation,Awe and humility.,MISSING_DOI_awe and humility,awe and humility,277,"JE Stellar, A Gordon, CL Anderson, PK Piff, ...",2018,… personality and social …,psycnet.apa.org,https://psycnet.apa.org/record/2017-37794-001,"https://scholar.google.com/scholar?cites=13712207287416613530&as_sdt=2005&sciodt=0,5&hl=en",4,TRUE,NA,277,55.4,55,5,5,"Humility is a foundational virtue that counters selfish inclinations such as entitlement, arrogance, and narcissism (Tangney, 2000). We hypothesize that experiences of awe …",https://www.academia.edu/download/78318564/2018-Awe-and-Humility.pdf,"https://scholar.google.com/scholar?q=related:mmr9pOCLS74J:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
62,2023,"Back, and Jenny Wagner. 2022. Well-being in social interactions: Examining personality-situation dynamics in face-to-face and computer-mediated …",MISSING_DOI_back and jenny wagner 2022 wellbeing in social int,back and jenny wagner 2022 wellbeing in social int,2,"L Kroencke, GM Harari, D Mitja",2022,Journal of Personality and Social Psychology,NA,NA,"https://scholar.google.com/scholar?cites=7480085948876184012&as_sdt=2005&sciodt=0,5&hl=en",156,TRUE,NA,2,2,1,3,1,NA,NA,"https://scholar.google.com/scholar?q=related:zNknEIqazmcJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
64,2023,"Beautiful seems good, but perhaps not in every way: Linking attractiveness to moral evaluation through perceived vanity.",MISSING_DOI_beautiful seems good but perhaps not in every way ,beautiful seems good but perhaps not in every way ,8,"DE Han, SM Laurent",2022,… of personality and social psychology,psycnet.apa.org,https://psycnet.apa.org/record/2022-65490-001?doi=1,"https://scholar.google.com/scholar?cites=8008210754066442108&as_sdt=2005&sciodt=0,5&hl=en",75,TRUE,NA,8,8,4,2,1,"For almost 50 years, psychologists have understood that what is beautiful is perceived as good. This simple and intuitively appealing hypothesis has been confirmed in many ways …",NA,"https://scholar.google.com/scholar?q=related:fOeXYkDhIm8J:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
72,,Between-person methods provide limited insight about within-person belief systems.,MISSING_DOI_betweenperson methods provide limited insight abou,betweenperson methods provide limited insight abou,19,"MJ Brandt, GS Morgan",2022,… of personality and social psychology,psycnet.apa.org,https://psycnet.apa.org/record/2022-19898-001,"https://scholar.google.com/scholar?cites=14749603303333831315&as_sdt=2005&sciodt=0,5&hl=en",51,TRUE,NA,19,19,10,2,1,"Belief systems are individual-level phenomena that describe the interrelationships of the political attitudes of a person. However, the modal study of the structure of political …",https://psyarxiv.com/xhs9g/download?format=pdf,"https://scholar.google.com/scholar?q=related:kyIkwQ4escwJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
92,,Climate control: cultural predictors of social identity threat for women in engineering,MISSING_DOI_climate control cultural predictors of social iden,climate control cultural predictors of social iden,4,"WM Hall, T Schmader, A Aday, M Inness, E Croft",2018,… Personality and Social Psychology,NA,NA,"https://scholar.google.com/scholar?cites=9414293386375278008&as_sdt=2005&sciodt=0,5&hl=en",107,TRUE,NA,4,0.8,1,5,5,NA,NA,"https://scholar.google.com/scholar?q=related:uC01svRJpoIJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
107,,Context-dependent learning in social interaction: Trait impressions support flexible social choices.,MISSING_DOI_contextdependent learning in social interaction tr,contextdependent learning in social interaction tr,5,"LM Hackel, P Mende-Siedlecki, S Loken…; LM Hackel, P Mende-Siedlecki…",2022,… and social psychology,psycnet.apa.org,https://psycnet.apa.org/record/2022-28517-001,"https://scholar.google.com/scholar?cites=9545652107291265903&as_sdt=2005&sciodt=0,5&hl=en",148,TRUE,NA,5,5,1,4,1,"How do humans learn, through social interaction, whom to depend on in different situations? We compared the extent to which inferred trait attributes—as opposed to learned reward …",https://psyarxiv.com/symrj/download?format=pdf,"https://scholar.google.com/scholar?q=related:bwuOPAT4eIQJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
109,,COVID-19. La questione di genere (20 maggio 2021),MISSING_DOI_covid19 la questione di genere 20 maggio 2021,covid19 la questione di genere 20 maggio 2021,0,M Zupi,2021,Journal of Personality and Social Psychology,cespi.it,https://www.cespi.it/sites/default/files/osservatori/allegati/covid_e_genere_-_20_maggio_2021.pdf,NA,147,TRUE,NA,0,0,0,1,2,"Servirà una diversa normalità per orientarsi e uscire dai tempi oscuri e agitati del Covid-19 e creare le condizioni perché ci siano prospettive migliori di vita (anzitutto per chi, in …",https://www.cespi.it/sites/default/files/osservatori/allegati/covid_e_genere_-_20_maggio_2021.pdf,"https://scholar.google.com/scholar?q=related:aVjlidgwQFEJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
114,,Cross-cultural variation in cooperation: A meta-analysis.,MISSING_DOI_crosscultural variation in cooperation a metaanaly,crosscultural variation in cooperation a metaanaly,16,"G Spadaro, C Graf, S Jin, S Arai, Y Inoue…",2022,Journal of Personality …,psycnet.apa.org,https://psycnet.apa.org/record/2022-42369-001,"https://scholar.google.com/scholar?cites=4041092679378857489&as_sdt=2005&sciodt=0,5&hl=en",16,TRUE,NA,16,16,3,6,1,"Impersonal cooperation among strangers enables societies to create valuable public goods, such as infrastructure, public services, and democracy. Several factors have been proposed …",https://www.researchgate.net/profile/Giuliana-Spadaro/publication/359225980_Cross-cultural_variation_in_cooperation_A_meta-analysis/links/6230bb9a4ba65b248132bed7/Cross-cultural-variation-in-cooperation-A-meta-analysis.pdf,"https://scholar.google.com/scholar?q=related:Ee7OmmHYFDgJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
115,,Cultural antecedents of virus transmission: Individualism is associated with lower compliance with social distancing rules during the COVID-19 pandemic.,MISSING_DOI_cultural antecedents of virus transmission individ,cultural antecedents of virus transmission individ,2,"Z Feng, K Zou, K Savani",2022,… of Personality and Social Psychology,psycnet.apa.org,https://psycnet.apa.org/record/2022-90269-001,"https://scholar.google.com/scholar?cites=8521339280638072248&as_sdt=2005&sciodt=0,5&hl=en",50,TRUE,NA,2,2,1,3,1,"In the context of COVID-19 government-ordered lockdowns, more individualistic people might be less willing to leave their homes to protect their own health, or they might be more …",https://www.krishnasavani.com/wordpress/wp-content/uploads/2022/08/Feng_Zou_Savani_2022.pdf,"https://scholar.google.com/scholar?q=related:uNUDge3gQXYJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
125,,Deep lexical hypothesis: Identifying personality structure in natural language.,MISSING_DOI_deep lexical hypothesis identifying personality st,deep lexical hypothesis identifying personality st,8,"A Cutler, DM Condon",2022,… of Personality and Social Psychology,psycnet.apa.org,https://psycnet.apa.org/record/2023-18692-001,"https://scholar.google.com/scholar?cites=15166967890009595599&as_sdt=2005&sciodt=0,5&hl=en",54,TRUE,NA,8,8,4,2,1,Recent advances in natural language processing (NLP) have produced general models that can perform complex tasks such as summarizing long passages and translating across …,https://arxiv.org/pdf/2203.02092,"https://scholar.google.com/scholar?q=related:zx7HG_Dke9IJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
127,,Deficits in problem-solving ability and suicide-related behaviors: Evidence for the explanatory roles of thwarted belongingness and perceived …,MISSING_DOI_deficits in problemsolving ability and suiciderela,deficits in problemsolving ability and suiciderela,2,"C Chu, KL Walker, IH Stanley, JK Hirsch, JH Greenberg…",2017,Journal of Personality and …,NA,NA,"https://scholar.google.com/scholar?cites=11834181614973523077&as_sdt=2005&sciodt=0,5&hl=en",128,TRUE,NA,2,0.33,0,6,6,NA,NA,"https://scholar.google.com/scholar?q=related:hZT0h3p1O6QJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
131,,Descripción y evaluación de complicaciones del tratamiento de coledocolitiasis con la escala de Clavien Dindo en el Hospital Enrique Garcés y Pablo …,MISSING_DOI_descripción y evaluación de complicaciones del tra,descripción y evaluación de complicaciones del tra,2,LE Proaño Valladares,2017,Journal of Personality and Social Psychology,NA,NA,"https://scholar.google.com/scholar?cites=11503186298529195624&as_sdt=2005&sciodt=0,5&hl=en",124,TRUE,NA,2,0.33,2,1,6,NA,NA,"https://scholar.google.com/scholar?q=related:aCb59P2Go58J:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
158,,Do people agree on how they and others are acting? Examining the degree of target–observer and observer–observer agreement about current behavior as it …,MISSING_DOI_do people agree on how they and others are acting ,do people agree on how they and others are acting ,2,"E Jayawickreme, SE Holleran, S Sutton…",2022,Journal of Personality …,psycnet.apa.org,https://psycnet.apa.org/record/2023-12697-001,"https://scholar.google.com/scholar?cites=15438720081300440183&as_sdt=2005&sciodt=0,5&hl=en",81,TRUE,NA,2,2,1,4,1,The purpose of the present research was to test the level of agreement between targets and observers both at any given moment and as the targets' current behavior (assessed as …,NA,"https://scholar.google.com/scholar?q=related:d0SauB1aQdYJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
164,,Does hoodwinking others pay? The psychological and relational consequences of undetected negotiator deception.,MISSING_DOI_does hoodwinking others pay the psychological and ,does hoodwinking others pay the psychological and ,2,"AB Van Zant, JA Kennedy, LJ Kray",2022,Journal of Personality and …,psycnet.apa.org,https://psycnet.apa.org/record/2023-21097-001,"https://scholar.google.com/scholar?cites=750756420302073263&as_sdt=2005&sciodt=0,5&hl=en",80,TRUE,NA,2,2,1,3,1,"Lies often go undetected, and we know little about the psychological and relational consequences of successfully deceiving others. While the evidence to date indicates that …",https://www.apa.org/pubs/journals/releases/psp-pspi0000410.pdf,"https://scholar.google.com/scholar?q=related:r-3ykPw4awoJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
175,,El aprendizaje cooperativo como estrategia para fortalecer las habilidades en la resolución de problemas con estructuras multiplicativas,MISSING_DOI_el aprendizaje cooperativo como estrategia para fo,el aprendizaje cooperativo como estrategia para fo,13,S Álvarez,2017,Journal of Personality and Social Psychology,NA,NA,"https://scholar.google.com/scholar?cites=17704112501378127050&as_sdt=2005&sciodt=0,5&hl=en",112,TRUE,NA,13,2.17,13,1,6,NA,NA,"https://scholar.google.com/scholar?q=related:yhQyBIWksfUJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
177,,"Emmie Banks, Chelsea Schein, Emma Armstrong-Carter, Samantha Abrams, and Keely A Muscatell. 2022. The affective harm account (AHA) of moral …",MISSING_DOI_emmie banks chelsea schein emma armstrongcarter sa,emmie banks chelsea schein emma armstrongcarter sa,3,"K Gray, JK MacCormack, T Henry",2022,Journal of Personality and Social Psychology,NA,NA,"https://scholar.google.com/scholar?cites=5404828782758639006&as_sdt=2005&sciodt=0,5&hl=en",155,TRUE,NA,3,3,1,3,1,NA,NA,"https://scholar.google.com/scholar?q=related:nrUiVCTPAUsJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
179,,"Empathy, social values and civic behaviour among early",MISSING_DOI_empathy social values and civic behaviour among ea,empathy social values and civic behaviour among ea,0,"C Silke, C Boylan, B Brady…",2019,… of Personality …,UNESCO Child and Family …,NA,NA,118,TRUE,NA,0,0,0,4,4,NA,NA,"https://scholar.google.com/scholar?q=related:lo_TryYmDHcJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
180,,En förväxling mellan personlighetsdrag och kompetens sker när vi bildar oss en uppfattning om andra,MISSING_DOI_en förväxling mellan personlighetsdrag och kompete,en förväxling mellan personlighetsdrag och kompete,0,"R Häggblom, R Häggblom",2022,… of Personality and Social Psychology,researchportal.hkr.se,https://researchportal.hkr.se/files/43906015/En_fo_rva_xling_mellan_personlighetsdrag_och_kompetens_sker_na_r_vi_bildar_oss_en_uppfattning_om_andra_fulltext.pdf,NA,168,TRUE,NA,0,0,0,2,#NAME?,Den moderna personlighetsforskningen pekar på att vi i personlighetsbedömningar genom självskattning tenderar att förväxla personlighetsdrag med kompetens. I denna studie …,https://researchportal.hkr.se/files/43906015/En_fo_rva_xling_mellan_personlighetsdrag_och_kompetens_sker_na_r_vi_bildar_oss_en_uppfattning_om_andra_fulltext.pdf,"https://scholar.google.com/scholar?q=related:V540Za5mz_wJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
188,,"Erratum to: The longitudinal links of personality traits, values, and well-being and self-esteem. A five-wave study of a nationally representative sample (vol …",MISSING_DOI_erratum to the longitudinal links of personality t,erratum to the longitudinal links of personality t,2,"VH Fetvadjiev, J He",2019,… of Personality …,AMER PSYCHOLOGICAL ASSOC,NA,"https://scholar.google.com/scholar?cites=7960096668084481954&as_sdt=2005&sciodt=0,5&hl=en",117,TRUE,NA,2,0.5,1,2,4,NA,NA,"https://scholar.google.com/scholar?q=related:oi_yxr7xd24J:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
189,,Estudio de variables psicológicas en una muestra de golfistas de alto rendimiento,MISSING_DOI_estudio de variables psicológicas en una muestra d,estudio de variables psicológicas en una muestra d,2,J Fontelles,2017,Journal of Personality and Social Psychology,NA,NA,"https://scholar.google.com/scholar?cites=14172282931794576301&as_sdt=2005&sciodt=0,5&hl=en",122,TRUE,NA,2,0.33,2,1,6,NA,NA,"https://scholar.google.com/scholar?q=related:rYPyDT0QrsQJ:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
193,,Evaluative context and conditioning effects among same and different objects.,MISSING_DOI_evaluative context and conditioning effects among ,evaluative context and conditioning effects among ,1,"H Alves, R Imhoff",2022,Journal of Personality and Social Psychology,psycnet.apa.org,https://psycnet.apa.org/record/2022-87038-001,"https://scholar.google.com/scholar?cites=15961965365472616605&as_sdt=2005&sciodt=0,5&hl=en",86,TRUE,NA,1,1,1,2,1,We address an apparent discrepancy in the literature on how context stimuli influence evaluations of target stimuli. While a rich literature suggests that target evaluations are often …,https://www.researchgate.net/profile/Hans-Alves/publication/362503502_Evaluative_context_and_conditioning_effects_among_same_and_different_objects/links/62f0d115505511283e9d5696/Evaluative-context-and-conditioning-effects-among-same-and-different-objects.pdf,"https://scholar.google.com/scholar?q=related:nWAVBu5KhN0J:scholar.google.com/&scioq=source:%22journal+of+personality+and+social+psychology%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
