"","term","doi","page","author","title"
"13","Handicap","allen-et-al-2019-systematic-review-and-meta-analysis-of-self-serving-attribution-biases-in-the-competitive-context-of.pdf",16,"Mark S. Allen, Davin...","Systematic Review and Meta-Analysis of S..."
"14","disab","axt-et-al-2018-reducing-social-judgment-biases-may-require-identifying-the-potential-source-of-bias.pdf",2,"Jordan R. Axt, Grace...","Reducing Social Judgment Biases May Requ..."
"15","disab","axt-et-al-2018-reducing-social-judgment-biases-may-require-identifying-the-potential-source-of-bias.pdf",13,"Jordan R. Axt, Grace...","Reducing Social Judgment Biases May Requ..."
"16","accessib","baas-et-al-2019-why-social-threat-motivates-malevolent-creativity.pdf",2,"Matthijs Baas, Marie...","Why Social Threat Motivates Malevolent C..."
"17","accessib","baas-et-al-2019-why-social-threat-motivates-malevolent-creativity.pdf",11,"Matthijs Baas, Marie...","Why Social Threat Motivates Malevolent C..."
"18","Defect","baas-et-al-2019-why-social-threat-motivates-malevolent-creativity.pdf",4,"Matthijs Baas, Marie...","Why Social Threat Motivates Malevolent C..."
"19","Defect","baas-et-al-2019-why-social-threat-motivates-malevolent-creativity.pdf",5,"Matthijs Baas, Marie...","Why Social Threat Motivates Malevolent C..."
"20","Dysfunction","banker-leary-2019-hypo-egoic-nonentitlement-as-a-feature-of-humility.pdf",14,"Chloe C. Banker and ...","Hypo-Egoic Nonentitlement as a Feature o..."
"21","Impairment","batruch-et-al-2018-school-selection-and-the-social-class-divide-how-tracking-contributes-to-the-reproduction-of.pdf",3,"Anatolia Batruch, Fr...","School Selection and the Social Class Di..."
"22","Syndrome","behler-et-al-2020-to-help-or-to-harm-assessing-the-impact-of-envy-on-prosocial-and-antisocial-behaviors.pdf",12,"Anna Maria C. Behler...","To Help or To Harm? Assessing the Impact..."
"23","accessib","bernecker-becker-2020-beyond-self-control-mechanisms-of-hedonic-goal-pursuit-and-its-relevance-for-well-being.pdf",12,"Katharina Bernecker ...","Beyond Self-Control: Mechanisms of Hedon..."
"24","accessib","bernecker-becker-2020-beyond-self-control-mechanisms-of-hedonic-goal-pursuit-and-its-relevance-for-well-being.pdf",14,"Katharina Bernecker ...","Beyond Self-Control: Mechanisms of Hedon..."
"25","accessib","bernecker-becker-2020-beyond-self-control-mechanisms-of-hedonic-goal-pursuit-and-its-relevance-for-well-being.pdf",15,"Katharina Bernecker ...","Beyond Self-Control: Mechanisms of Hedon..."
"26","accessib","berry-et-al-2020-does-mindfulness-training-without-explicit-ethics-based-instruction-promote-prosocial-behaviors-a-meta.pdf",19,"Daniel R. Berry, Jon...","Does Mindfulness Training Without Explic..."
"27","afflict","berry-et-al-2020-does-mindfulness-training-without-explicit-ethics-based-instruction-promote-prosocial-behaviors-a-meta.pdf",3,"Daniel R. Berry, Jon...","Does Mindfulness Training Without Explic..."
"28","\blame","bettinsoli-et-al-2021-the-spatial-ingroup-bias-ingroup-teams-are-positioned-where-writing-starts.pdf",1,"Maria Laura Bettinso...","The Spatial Ingroup Bias: Ingroup Teams ..."
"29","\blame","bettinsoli-et-al-2021-the-spatial-ingroup-bias-ingroup-teams-are-positioned-where-writing-starts.pdf",13,"Maria Laura Bettinso...","The Spatial Ingroup Bias: Ingroup Teams ..."
"30","\blame","bettinsoli-et-al-2021-the-spatial-ingroup-bias-ingroup-teams-are-positioned-where-writing-starts.pdf",15,"Maria Laura Bettinso...","The Spatial Ingroup Bias: Ingroup Teams ..."
"31","accessib","bettinsoli-et-al-2021-the-spatial-ingroup-bias-ingroup-teams-are-positioned-where-writing-starts.pdf",2,"Maria Laura Bettinso...","The Spatial Ingroup Bias: Ingroup Teams ..."
"32","accessib","bettinsoli-et-al-2021-the-spatial-ingroup-bias-ingroup-teams-are-positioned-where-writing-starts.pdf",3,"Maria Laura Bettinso...","The Spatial Ingroup Bias: Ingroup Teams ..."
"33","deficien","biernat-et-al-2019-gender-race-and-grant-reviews-translating-and-responding-to-research-feedback.pdf",3,"Monica Biernat, Moll...","Gender, Race, and Grant Reviews: Transla..."
"34","deficien","biernat-et-al-2019-gender-race-and-grant-reviews-translating-and-responding-to-research-feedback.pdf",5,"Monica Biernat, Moll...","Gender, Race, and Grant Reviews: Transla..."
"35","accessib","birnbaum-et-al-2017-sex-unleashes-your-tongue-sexual-priming-motivates-self-disclosure-to-a-new-acquaintance-and.pdf",2,"Gurit E. Birnbaum, M...","Sex Unleashes Your Tongue: Sexual Primin..."
"36","deficien","birnbaum-et-al-2017-sex-unleashes-your-tongue-sexual-priming-motivates-self-disclosure-to-a-new-acquaintance-and.pdf",1,"Gurit E. Birnbaum, M...","Sex Unleashes Your Tongue: Sexual Primin..."
"37","Dysfunction","birnbaum-et-al-2018-what-fantasies-can-do-to-your-relationship-the-effects-of-sexual-fantasies-on-couple-interactions.pdf",2,"Gurit E. Birnbaum, Y...","What Fantasies Can Do to Your Relationsh..."
"38","deficien","birnbaum-et-al-2018-what-fantasies-can-do-to-your-relationship-the-effects-of-sexual-fantasies-on-couple-interactions.pdf",1,"Gurit E. Birnbaum, Y...","What Fantasies Can Do to Your Relationsh..."
"39","deficien","birnbaum-et-al-2018-what-fantasies-can-do-to-your-relationship-the-effects-of-sexual-fantasies-on-couple-interactions.pdf",2,"Gurit E. Birnbaum, Y...","What Fantasies Can Do to Your Relationsh..."
"40","\blame","boothby-bohns-2020-why-a-simple-act-of-kindness-is-not-as-simple-as-it-seems-underestimating-the-positive-impact-of-our.pdf",12,"Erica J. Boothby and...","Why a Simple Act of Kindness Is Not as S..."
"41","accessib","boothby-bohns-2020-why-a-simple-act-of-kindness-is-not-as-simple-as-it-seems-underestimating-the-positive-impact-of-our.pdf",2,"Erica J. Boothby and...","Why a Simple Act of Kindness Is Not as S..."
"42","accessib","bredow-hames-2018-steadfast-standards-or-fluctuating-fancies-stability-and-change-in-people-s-mate-criteria-over-27.pdf",2,"Carrie A. Bredow and...","Steadfast Standards or Fluctuating Fanci..."
"43","accessib","brown-bernieri-2017-trait-perception-accuracy-and-acquaintance-within-groups-tracking-accuracy-development.pdf",2,"Jill A. Brown and Fr...","Trait Perception Accuracy and Acquaintan..."
"44","disab","brown-craig-2019-intergroup-inequality-heightens-reports-of-discrimination-along-alternative-identity-dimensions.pdf",11,"Riana M. Brown and M...","Intergroup Inequality Heightens Reports ..."
"45","accessib","brown-craig-2019-intergroup-inequality-heightens-reports-of-discrimination-along-alternative-identity-dimensions.pdf",4,"Riana M. Brown and M...","Intergroup Inequality Heightens Reports ..."
"46","accessib","bruk-et-al-2021-you-and-i-both-self-compassion-reduces-self-other-differences-in-evaluation-of-showing-vulnerability.pdf",5,"Anna Bruk, Sabine G....","You and I Both: Self-Compassion Reduces ..."
"47","accessib","bruk-et-al-2021-you-and-i-both-self-compassion-reduces-self-other-differences-in-evaluation-of-showing-vulnerability.pdf",10,"Anna Bruk, Sabine G....","You and I Both: Self-Compassion Reduces ..."
"48","accessib","bruneau-et-al-2017-interventions-highlighting-hypocrisy-reduce-collective-blame-of-muslims-for-individual-acts-of.pdf",4,"Emile Bruneau, Nour ...","Interventions Highlighting Hypocrisy Red..."
"49","accessib","bruneau-et-al-2017-interventions-highlighting-hypocrisy-reduce-collective-blame-of-muslims-for-individual-acts-of.pdf",18,"Emile Bruneau, Nour ...","Interventions Highlighting Hypocrisy Red..."
"50","feebl","buttrick-et-al-2020-historical-change-in-the-moral-foundations-of-political-persuasion.pdf",14,"Nicholas Buttrick, R...","Historical Change in the Moral Foundatio..."
"51","deficien","cacioppo-et-al-2017-reciprocal-influences-between-loneliness-and-self-centeredness-a-cross-lagged-panel-analysis-in-a.pdf",1,"John T. Cacioppo, Hs...","Reciprocal Influences Between Loneliness..."
"52","deficien","cacioppo-et-al-2017-reciprocal-influences-between-loneliness-and-self-centeredness-a-cross-lagged-panel-analysis-in-a.pdf",7,"John T. Cacioppo, Hs...","Reciprocal Influences Between Loneliness..."
"53","Syndrome","campbell-et-al-2020-toward-a-better-understanding-of-the-reciprocal-relations-between-adolescent-psychological-need.pdf",3,"Rachel Campbell, Maa...","Toward a Better Understanding of the Rec..."
"54","Syndrome","campbell-et-al-2020-toward-a-better-understanding-of-the-reciprocal-relations-between-adolescent-psychological-need.pdf",16,"Rachel Campbell, Maa...","Toward a Better Understanding of the Rec..."
"55","accessib","cannon-rucker-2018-the-dark-side-of-luxury-social-costs-of-luxury-consumption.pdf",7,"Christopher Cannon a...","The Dark Side of Luxury: Social Costs of..."
"56","accessib","cassidy-et-al-2017-influences-on-care-for-others-attachment-security-personal-suffering-and-similarity-between-helper.pdf",14,"Jude Cassidy, Jessic...","Influences on Care for Others: Attachmen..."
"57","\blame","chan-maglio-2019-the-voice-of-cognition-active-and-passive-voice-influence-distance-and-construal.pdf",2,"Eugene Y. Chan and S...","The Voice of Cognition: Active and Passi..."
"58","disab","choi-et-al-2020-a-cultural-perspective-on-functional-limitations-and-well-being.pdf",1,"Jeong Ha Choi, Yuri ...","A Cultural Perspective on Functional Lim..."
"59","disab","choi-et-al-2020-a-cultural-perspective-on-functional-limitations-and-well-being.pdf",2,"Jeong Ha Choi, Yuri ...","A Cultural Perspective on Functional Lim..."
"60","disab","choi-et-al-2020-a-cultural-perspective-on-functional-limitations-and-well-being.pdf",12,"Jeong Ha Choi, Yuri ...","A Cultural Perspective on Functional Lim..."
"61","disab","choi-et-al-2020-a-cultural-perspective-on-functional-limitations-and-well-being.pdf",13,"Jeong Ha Choi, Yuri ...","A Cultural Perspective on Functional Lim..."
"62","disab","choi-et-al-2020-a-cultural-perspective-on-functional-limitations-and-well-being.pdf",14,"Jeong Ha Choi, Yuri ...","A Cultural Perspective on Functional Lim..."
"63","Impairment","choi-et-al-2020-a-cultural-perspective-on-functional-limitations-and-well-being.pdf",4,"Jeong Ha Choi, Yuri ...","A Cultural Perspective on Functional Lim..."
"64","Impairment","choi-et-al-2020-a-cultural-perspective-on-functional-limitations-and-well-being.pdf",14,"Jeong Ha Choi, Yuri ...","A Cultural Perspective on Functional Lim..."
"65","functional limitation","choi-et-al-2020-a-cultural-perspective-on-functional-limitations-and-well-being.pdf",1,"Jeong Ha Choi, Yuri ...","A Cultural Perspective on Functional Lim..."
"66","functional limitation","choi-et-al-2020-a-cultural-perspective-on-functional-limitations-and-well-being.pdf",3,"Jeong Ha Choi, Yuri ...","A Cultural Perspective on Functional Lim..."
"67","functional limitation","choi-et-al-2020-a-cultural-perspective-on-functional-limitations-and-well-being.pdf",5,"Jeong Ha Choi, Yuri ...","A Cultural Perspective on Functional Lim..."
"68","functional limitation","choi-et-al-2020-a-cultural-perspective-on-functional-limitations-and-well-being.pdf",6,"Jeong Ha Choi, Yuri ...","A Cultural Perspective on Functional Lim..."
"69","functional limitation","choi-et-al-2020-a-cultural-perspective-on-functional-limitations-and-well-being.pdf",8,"Jeong Ha Choi, Yuri ...","A Cultural Perspective on Functional Lim..."
"70","functional limitation","choi-et-al-2020-a-cultural-perspective-on-functional-limitations-and-well-being.pdf",9,"Jeong Ha Choi, Yuri ...","A Cultural Perspective on Functional Lim..."
"71","functional limitation","choi-et-al-2020-a-cultural-perspective-on-functional-limitations-and-well-being.pdf",12,"Jeong Ha Choi, Yuri ...","A Cultural Perspective on Functional Lim..."
"72","of daily living","choi-et-al-2020-a-cultural-perspective-on-functional-limitations-and-well-being.pdf",1,"Jeong Ha Choi, Yuri ...","A Cultural Perspective on Functional Lim..."
"73","frail","choi-et-al-2020-a-cultural-perspective-on-functional-limitations-and-well-being.pdf",2,"Jeong Ha Choi, Yuri ...","A Cultural Perspective on Functional Lim..."
"74","frail","choi-et-al-2020-a-cultural-perspective-on-functional-limitations-and-well-being.pdf",14,"Jeong Ha Choi, Yuri ...","A Cultural Perspective on Functional Lim..."
"75","Chronic illness","chwyl-et-al-2020-beliefs-about-self-compassion-implications-for-coping-and-self-improvement.pdf",16,"Christina Chwyl, Pat...","Beliefs About Self-Compassion: Implicati..."
"76","accessib","clark-et-al-2017-positive-stereotype-validation-the-bolstering-effects-of-activating-positive-stereotypes-after.pdf",1,"Jason K. Clark, Kels...","Positive Stereotype Validation: The Bols..."
"77","accessib","clark-et-al-2017-positive-stereotype-validation-the-bolstering-effects-of-activating-positive-stereotypes-after.pdf",2,"Jason K. Clark, Kels...","Positive Stereotype Validation: The Bols..."
"78","accessib","clark-et-al-2017-positive-stereotype-validation-the-bolstering-effects-of-activating-positive-stereotypes-after.pdf",3,"Jason K. Clark, Kels...","Positive Stereotype Validation: The Bols..."
"79","accessib","clark-et-al-2017-positive-stereotype-validation-the-bolstering-effects-of-activating-positive-stereotypes-after.pdf",6,"Jason K. Clark, Kels...","Positive Stereotype Validation: The Bols..."
"80","accessib","clark-et-al-2017-positive-stereotype-validation-the-bolstering-effects-of-activating-positive-stereotypes-after.pdf",7,"Jason K. Clark, Kels...","Positive Stereotype Validation: The Bols..."
"81","accessib","clark-et-al-2017-positive-stereotype-validation-the-bolstering-effects-of-activating-positive-stereotypes-after.pdf",8,"Jason K. Clark, Kels...","Positive Stereotype Validation: The Bols..."
"82","accessib","clark-et-al-2017-positive-stereotype-validation-the-bolstering-effects-of-activating-positive-stereotypes-after.pdf",9,"Jason K. Clark, Kels...","Positive Stereotype Validation: The Bols..."
"83","accessib","clark-et-al-2017-positive-stereotype-validation-the-bolstering-effects-of-activating-positive-stereotypes-after.pdf",10,"Jason K. Clark, Kels...","Positive Stereotype Validation: The Bols..."
"84","accessib","clark-et-al-2017-positive-stereotype-validation-the-bolstering-effects-of-activating-positive-stereotypes-after.pdf",11,"Jason K. Clark, Kels...","Positive Stereotype Validation: The Bols..."
"85","accessib","clark-et-al-2017-positive-stereotype-validation-the-bolstering-effects-of-activating-positive-stereotypes-after.pdf",12,"Jason K. Clark, Kels...","Positive Stereotype Validation: The Bols..."
"86","accessib","clark-et-al-2017-positive-stereotype-validation-the-bolstering-effects-of-activating-positive-stereotypes-after.pdf",13,"Jason K. Clark, Kels...","Positive Stereotype Validation: The Bols..."
"87","accessib","cone-calanchini-2020-a-process-dissociation-model-of-implicit-rapid-revision-in-response-to-diagnostic-revelations.pdf",4,"Jeremy Cone and Jimm...","A Process Dissociation Model of Implicit..."
"88","accessib","conner-et-al-2020-cognitive-affective-inconsistency-and-ambivalence-impact-on-the-overall-attitude-behavior-relationship.pdf",1,"Mark Conner, Sarah W...","Cognitive-Affective Inconsistency and Am..."
"89","accessib","connor-et-al-2020-social-class-competence-stereotypes-are-amplified-by-socially-signaled-economic-inequality.pdf",2,"Paul Connor, Jordan ...","Social Class Competence Stereotypes Are ..."
"90","accessib","cortes-et-al-2018-perceiving-relationship-success-through-a-motivational-lens-a-regulatory-focus-perspective.pdf",13,"Kassandra Cortes, Ab...","Perceiving Relationship Success Through ..."
"91","accessib","costabile-madon-2018-downstream-effects-of-dispositional-inferences-on-confirmation-biases.pdf",9,"Kristi A. Costabile ...","Downstream Effects of Dispositional Infe..."
"92","accessib","costabile-madon-2018-downstream-effects-of-dispositional-inferences-on-confirmation-biases.pdf",10,"Kristi A. Costabile ...","Downstream Effects of Dispositional Infe..."
"93","accessib","costabile-madon-2018-downstream-effects-of-dispositional-inferences-on-confirmation-biases.pdf",13,"Kristi A. Costabile ...","Downstream Effects of Dispositional Infe..."
"94","disab","craig-et-al-2021-stereotypes-about-political-attitudes-and-coalitions-among-u-s-racial-groups-implications-for.pdf",2,"Maureen A. Craig, Li...","Stereotypes About Political Attitudes an..."
"95","accessib","craig-et-al-2021-stereotypes-about-political-attitudes-and-coalitions-among-u-s-racial-groups-implications-for.pdf",15,"Maureen A. Craig, Li...","Stereotypes About Political Attitudes an..."
"96","disab","crawford-brandt-2019-who-is-prejudiced-and-toward-whom-the-big-five-traits-and-generalized-prejudice.pdf",2,"Jarret T. Crawford a...","Who Is Prejudiced, and Toward Whom? The ..."
"97","accessib","culcea-freitas-2017-subjective-importance-as-a-cue-for-self-reference.pdf",11,"Ileana C. Culcea and...","Subjective Importance as a Cue for Self-..."
"98","disab","cundiff-et-al-2018-social-stratification-and-risk-for-cardiovascular-disease-examination-of-emotional-suppression-as-a.pdf",4,"Jenny M. Cundiff, J....","Social Stratification and Risk for Cardi..."
"99","Dysfunction","cundiff-et-al-2018-social-stratification-and-risk-for-cardiovascular-disease-examination-of-emotional-suppression-as-a.pdf",13,"Jenny M. Cundiff, J....","Social Stratification and Risk for Cardi..."
"100","Impairment","cvencek-et-al-2020-meta-analytic-use-of-balanced-identity-theory-to-validate-the-implicit-association-test.pdf",8,"Dario Cvencek, Andre...","Meta-Analytic Use of Balanced Identity T..."
"101","accessib","cvencek-et-al-2020-meta-analytic-use-of-balanced-identity-theory-to-validate-the-implicit-association-test.pdf",3,"Dario Cvencek, Andre...","Meta-Analytic Use of Balanced Identity T..."
"102","debilit","davis-et-al-2020-secrets-psychological-health-and-the-fear-of-discovery.pdf",1,"Christopher G. Davis...","Secrets, Psychological Health, and the F..."
"103","debilit","davis-et-al-2020-secrets-psychological-health-and-the-fear-of-discovery.pdf",2,"Christopher G. Davis...","Secrets, Psychological Health, and the F..."
"104","debilit","davis-et-al-2020-secrets-psychological-health-and-the-fear-of-discovery.pdf",3,"Christopher G. Davis...","Secrets, Psychological Health, and the F..."
"105","debilit","davis-et-al-2020-secrets-psychological-health-and-the-fear-of-discovery.pdf",14,"Christopher G. Davis...","Secrets, Psychological Health, and the F..."
"106","accessib","davis-et-al-2020-secrets-psychological-health-and-the-fear-of-discovery.pdf",2,"Christopher G. Davis...","Secrets, Psychological Health, and the F..."
"107","disab","dawtry-et-al-2017-derogating-innocent-victims-the-effects-of-relative-versus-absolute-character-judgments.pdf",2,"Rael J. Dawtry, Mitc...","Derogating Innocent Victims: The Effects..."
"108","disab","dawtry-et-al-2017-derogating-innocent-victims-the-effects-of-relative-versus-absolute-character-judgments.pdf",4,"Rael J. Dawtry, Mitc...","Derogating Innocent Victims: The Effects..."
"109","disab","dawtry-et-al-2017-derogating-innocent-victims-the-effects-of-relative-versus-absolute-character-judgments.pdf",11,"Rael J. Dawtry, Mitc...","Derogating Innocent Victims: The Effects..."
"110","disab","dawtry-et-al-2017-derogating-innocent-victims-the-effects-of-relative-versus-absolute-character-judgments.pdf",13,"Rael J. Dawtry, Mitc...","Derogating Innocent Victims: The Effects..."
"111","ablism","dawtry-et-al-2017-derogating-innocent-victims-the-effects-of-relative-versus-absolute-character-judgments.pdf",13,"Rael J. Dawtry, Mitc...","Derogating Innocent Victims: The Effects..."
"112","Handicap","dawtry-et-al-2017-derogating-innocent-victims-the-effects-of-relative-versus-absolute-character-judgments.pdf",14,"Rael J. Dawtry, Mitc...","Derogating Innocent Victims: The Effects..."
"113","\babled","dawtry-et-al-2017-derogating-innocent-victims-the-effects-of-relative-versus-absolute-character-judgments.pdf",13,"Rael J. Dawtry, Mitc...","Derogating Innocent Victims: The Effects..."
"114","accessib","dawtry-et-al-2019-i-blame-therefore-it-was-rape-myth-acceptance-victim-blaming-and-memory-reconstruction.pdf",14,"Rael J. Dawtry, Phil...","I Blame Therefore It Was: Rape Myth Acce..."
"115","Impairment","de-keersmaecker-et-al-2019-investigating-the-robustness-of-the-illusory-truth-effect-across-individual-differences-in.pdf",10,"Jonas De keersmaecke...","Investigating the Robustness of the Illu..."
"116","accessib","debrosse-et-al-2018-can-identity-conflicts-impede-the-success-of-ethnic-minority-students-consequences-of-discrepancies.pdf",13,"Régine Debrosse, May...","Can Identity Conflicts Impede the Succes..."
"117","Syndrome","debrosse-et-al-2018-can-identity-conflicts-impede-the-success-of-ethnic-minority-students-consequences-of-discrepancies.pdf",14,"Régine Debrosse, May...","Can Identity Conflicts Impede the Succes..."
"118","Defect","deng-et-al-2020-culture-and-patterns-of-reciprocity-the-role-of-exchange-type-regulatory-focus-and-emotions.pdf",6,"Yingli Deng, Cynthia...","Culture and Patterns of Reciprocity: The..."
"119","accessib","denning-hodges-2021-when-polarization-triggers-out-group-counter-projection-across-the-political-divide.pdf",2,"Kathryn R. Denning a...","When Polarization Triggers Out-Group Co..."
"120","accessib","denning-hodges-2021-when-polarization-triggers-out-group-counter-projection-across-the-political-divide.pdf",18,"Kathryn R. Denning a...","When Polarization Triggers Out-Group Co..."
"121","incapac","deska-et-al-2020-dehumanizing-prisoners-remaining-sentence-duration-predicts-the-ascription-of-mind-to-prisoners.pdf",2,"Jason C. Deska, Stev...","Dehumanizing Prisoners: Remaining Senten..."
"122","incapac","deska-et-al-2020-dehumanizing-prisoners-remaining-sentence-duration-predicts-the-ascription-of-mind-to-prisoners.pdf",3,"Jason C. Deska, Stev...","Dehumanizing Prisoners: Remaining Senten..."
"123","incapac","deska-et-al-2020-dehumanizing-prisoners-remaining-sentence-duration-predicts-the-ascription-of-mind-to-prisoners.pdf",6,"Jason C. Deska, Stev...","Dehumanizing Prisoners: Remaining Senten..."
"124","incapac","deska-et-al-2020-dehumanizing-prisoners-remaining-sentence-duration-predicts-the-ascription-of-mind-to-prisoners.pdf",9,"Jason C. Deska, Stev...","Dehumanizing Prisoners: Remaining Senten..."
"125","incapac","deska-et-al-2020-dehumanizing-prisoners-remaining-sentence-duration-predicts-the-ascription-of-mind-to-prisoners.pdf",10,"Jason C. Deska, Stev...","Dehumanizing Prisoners: Remaining Senten..."
"126","incapac","deska-et-al-2020-dehumanizing-prisoners-remaining-sentence-duration-predicts-the-ascription-of-mind-to-prisoners.pdf",11,"Jason C. Deska, Stev...","Dehumanizing Prisoners: Remaining Senten..."
"127","incapac","deska-et-al-2020-dehumanizing-prisoners-remaining-sentence-duration-predicts-the-ascription-of-mind-to-prisoners.pdf",12,"Jason C. Deska, Stev...","Dehumanizing Prisoners: Remaining Senten..."
"128","deficien","dietze-knowles-2020-social-class-predicts-emotion-perception-and-perspective-taking-performance-in-adults.pdf",1,"Pia Dietze and Eric ...","Social Class Predicts Emotion Perception..."
"129","Syndrome","dietze-knowles-2020-social-class-predicts-emotion-perception-and-perspective-taking-performance-in-adults.pdf",14,"Pia Dietze and Eric ...","Social Class Predicts Emotion Perception..."
"130","Dysfunction","dimuccio-knowles-2020-precarious-manhood-predicts-support-for-aggressive-policies-and-politicians.pdf",8,"Sarah H. DiMuccio an...","Precarious Manhood Predicts Support for ..."
"131","Dysfunction","dimuccio-knowles-2020-precarious-manhood-predicts-support-for-aggressive-policies-and-politicians.pdf",9,"Sarah H. DiMuccio an...","Precarious Manhood Predicts Support for ..."
"132","Dysfunction","dimuccio-knowles-2020-precarious-manhood-predicts-support-for-aggressive-policies-and-politicians.pdf",10,"Sarah H. DiMuccio an...","Precarious Manhood Predicts Support for ..."
"133","Dysfunction","dimuccio-knowles-2020-precarious-manhood-predicts-support-for-aggressive-policies-and-politicians.pdf",14,"Sarah H. DiMuccio an...","Precarious Manhood Predicts Support for ..."
"134","Dysfunction","dimuccio-knowles-2020-precarious-manhood-predicts-support-for-aggressive-policies-and-politicians.pdf",16,"Sarah H. DiMuccio an...","Precarious Manhood Predicts Support for ..."
"135","Dysfunction","dimuccio-knowles-2020-precarious-manhood-predicts-support-for-aggressive-policies-and-politicians.pdf",18,"Sarah H. DiMuccio an...","Precarious Manhood Predicts Support for ..."
"136","Dysfunction","don-hammond-2017-social-support-in-intimate-relationships-the-role-of-relationship-autonomy.pdf",13,"Brian P. Don and Mat...","Social Support in Intimate Relationships..."
"137","accessib","donald-et-al-2019-mindfulness-and-its-association-with-varied-types-of-motivation-a-systematic-review-and-meta-analysis.pdf",5,"James N. Donald, Emm...","Mindfulness and Its Association With Var..."
"138","disab","doucerain-et-al-2016-initial-mainstream-cultural-orientations-predict-early-social-participation-in-the-mainstream.pdf",13,"Marina M. Doucerain,...","Initial Mainstream Cultural Orientations..."
"139","Impairment","doucerain-et-al-2016-initial-mainstream-cultural-orientations-predict-early-social-participation-in-the-mainstream.pdf",11,"Marina M. Doucerain,...","Initial Mainstream Cultural Orientations..."
"140","accessib","doucerain-et-al-2016-initial-mainstream-cultural-orientations-predict-early-social-participation-in-the-mainstream.pdf",3,"Marina M. Doucerain,...","Initial Mainstream Cultural Orientations..."
"141","Syndrome","doucerain-et-al-2016-initial-mainstream-cultural-orientations-predict-early-social-participation-in-the-mainstream.pdf",11,"Marina M. Doucerain,...","Initial Mainstream Cultural Orientations..."
"142","Syndrome","doucerain-et-al-2016-initial-mainstream-cultural-orientations-predict-early-social-participation-in-the-mainstream.pdf",13,"Marina M. Doucerain,...","Initial Mainstream Cultural Orientations..."
"143","accessib","eastwick-et-al-2018-best-practices-for-testing-the-predictive-validity-of-ideal-partner-preference-matching.pdf",14,"Paul W. Eastwick, El...","Best Practices for Testing the Predictiv..."
"144","Dysfunction","effron-2018-it-could-have-been-true-how-counterfactual-thoughts-reduce-condemnation-of-falsehoods-and-increase.pdf",14,"Daniel A. Effron","It Could Have Been True: How Counterfact..."
"145","Dysfunction","effron-2018-it-could-have-been-true-how-counterfactual-thoughts-reduce-condemnation-of-falsehoods-and-increase.pdf",17,"Daniel A. Effron","It Could Have Been True: How Counterfact..."
"146","accessib","elfenbein-et-al-2021-what-do-we-hear-in-the-voice-an-open-ended-judgment-study-of-emotional-speech-prosody.pdf",14,"Hillary Anger Elfenb...","What Do We Hear in the Voice? An Open-En..."
"147","Dysfunction","emery-et-al-2018-you-can-t-see-the-real-me-attachment-avoidance-self-verification-and-self-concept-clarity.pdf",14,"Lydia F. Emery, Wend...","You Cant See the Real Me: Attachment Av..."
