term,doi,page,author,title
person-first,barlev-et-al-2022-weight-location-moderates-weight-based-self-devaluation-and-perceived-social-devaluation-in-women.pdf,9,"Michael Barlev, Ahra...",Weight Location Moderates Weight-Based S...
accessib,baryla-wojciszke-2018-success-leads-to-agentic-cognition-two-field-studies.pdf,1,Wiesaw Barya and B...,Success Leads to Agentic Cognition: Two ...
accessib,baryla-wojciszke-2018-success-leads-to-agentic-cognition-two-field-studies.pdf,2,Wiesaw Barya and B...,Success Leads to Agentic Cognition: Two ...
accessib,baryla-wojciszke-2018-success-leads-to-agentic-cognition-two-field-studies.pdf,3,Wiesaw Barya and B...,Success Leads to Agentic Cognition: Two ...
accessib,beckes-et-al-2016-desperately-seeking-support-negative-reinforcement-schedules-in-the-formation-of-adult-attachment.pdf,2,"Lane Beckes, Kailey ...",Desperately Seeking Support
accessib,beckes-et-al-2016-desperately-seeking-support-negative-reinforcement-schedules-in-the-formation-of-adult-attachment.pdf,9,"Lane Beckes, Kailey ...",Desperately Seeking Support
Dysfunction,bendersky-hays-2016-the-positive-effects-of-status-conflicts-in-teams-where-members-perceive-status-hierarchies.pdf,1,Corinne Bendersky an...,The Positive Effects of Status Conflicts...
Dysfunction,bendersky-hays-2016-the-positive-effects-of-status-conflicts-in-teams-where-members-perceive-status-hierarchies.pdf,2,Corinne Bendersky an...,The Positive Effects of Status Conflicts...
Dysfunction,bendersky-hays-2016-the-positive-effects-of-status-conflicts-in-teams-where-members-perceive-status-hierarchies.pdf,8,Corinne Bendersky an...,The Positive Effects of Status Conflicts...
accessib,bendersky-hays-2016-the-positive-effects-of-status-conflicts-in-teams-where-members-perceive-status-hierarchies.pdf,2,Corinne Bendersky an...,The Positive Effects of Status Conflicts...
accessib,bendersky-hays-2016-the-positive-effects-of-status-conflicts-in-teams-where-members-perceive-status-hierarchies.pdf,5,Corinne Bendersky an...,The Positive Effects of Status Conflicts...
accessib,bendersky-hays-2016-the-positive-effects-of-status-conflicts-in-teams-where-members-perceive-status-hierarchies.pdf,7,Corinne Bendersky an...,The Positive Effects of Status Conflicts...
accessib,berger-barasch-2017-a-candid-advantage-the-social-benefits-of-candid-photos.pdf,6,Jonah Berger and Ali...,A Candid Advantage? The Social Benefits ...
debilit,bergh-reinstein-2020-empathic-and-numerate-giving-the-joint-effects-of-victim-images-and-charity-evaluations.pdf,4,Robin Bergh and Davi...,Empathic and Numerate Giving: The Joint ...
Paralyzed,bergh-reinstein-2020-empathic-and-numerate-giving-the-joint-effects-of-victim-images-and-charity-evaluations.pdf,4,Robin Bergh and Davi...,Empathic and Numerate Giving: The Joint ...
Impairment,bernard-et-al-2017-the-neural-correlates-of-cognitive-objectification-an-erp-study-on-the-body-inversion-effect.pdf,10,"Philippe Bernard, Ti...",The Neural Correlates of Cognitive Objec...
Syndrome,blagov-2020-adaptive-and-dark-personality-in-the-covid-19-pandemic-predicting-health-behavior-endorsement-and-the.pdf,1,Pavel S. Blagov,Adaptive and Dark Personality in the COV...
deficien,bleidorn-et-al-2020-health-adversity-and-value-change.pdf,1,"Wiebke Bleidorn, Ted...",Health Adversity and Value Change
accessib,bohns-devincent-2018-rejecting-unwanted-romantic-advances-is-more-difficult-than-suitors-realize.pdf,2,Vanessa K. Bohns and...,Rejecting Unwanted Romantic Advances Is ...
accessib,bohns-devincent-2018-rejecting-unwanted-romantic-advances-is-more-difficult-than-suitors-realize.pdf,6,Vanessa K. Bohns and...,Rejecting Unwanted Romantic Advances Is ...
accessib,briskin-et-al-2017-for-better-or-for-worse-outsourcing-self-regulation-and-goal-pursuit.pdf,11,"Julia L. Briskin, Ca...",For Better or for Worse? Outsourcing Sel...
accessib,bruneau-et-al-2017-giving-the-underdog-a-leg-up-a-counternarrative-of-nonviolent-resistance-improves-sustained-third.pdf,7,"Emile Bruneau, Danie...",Giving the Underdog a Leg Up
Defect,bruneau-et-al-2017-giving-the-underdog-a-leg-up-a-counternarrative-of-nonviolent-resistance-improves-sustained-third.pdf,9,"Emile Bruneau, Danie...",Giving the Underdog a Leg Up
accessib,buechner-et-al-2020-political-ideology-and-executive-functioning-the-effect-of-conservatism-and-liberalism-on-cognitive.pdf,7,"Bryan M. Buechner, J...",Political Ideology and Executive Functio...
accessib,bushman-2017-guns-automatically-prime-aggressive-thoughts-regardless-of-whether-a-good-guy-or-bad-guy-holds-the-gun.pdf,1,Brad J. Bushman,Guns Automatically Prime Aggressive Thou...
accessib,bushman-2017-guns-automatically-prime-aggressive-thoughts-regardless-of-whether-a-good-guy-or-bad-guy-holds-the-gun.pdf,2,Brad J. Bushman,Guns Automatically Prime Aggressive Thou...
accessib,bushman-2017-guns-automatically-prime-aggressive-thoughts-regardless-of-whether-a-good-guy-or-bad-guy-holds-the-gun.pdf,7,Brad J. Bushman,Guns Automatically Prime Aggressive Thou...
Dysfunction,caluori-et-al-2020-economic-inequality-shapes-the-relationship-between-globalization-and-prejudice.pdf,10,"Nava Caluori, Jazmin...",Economic Inequality Shapes the Relations...
Dysfunction,canning-et-al-2019-feeling-like-an-imposter-the-effect-of-perceived-classroom-competition-on-the-daily-psychological.pdf,11,Elizabeth A. Canning...,Feeling Like an Imposter: The Effect of ...
Handicap,canning-et-al-2019-feeling-like-an-imposter-the-effect-of-perceived-classroom-competition-on-the-daily-psychological.pdf,11,Elizabeth A. Canning...,Feeling Like an Imposter: The Effect of ...
Syndrome,canning-et-al-2019-feeling-like-an-imposter-the-effect-of-perceived-classroom-competition-on-the-daily-psychological.pdf,9,Elizabeth A. Canning...,Feeling Like an Imposter: The Effect of ...
Syndrome,canning-et-al-2019-feeling-like-an-imposter-the-effect-of-perceived-classroom-competition-on-the-daily-psychological.pdf,10,Elizabeth A. Canning...,Feeling Like an Imposter: The Effect of ...
Syndrome,cantarero-et-al-2020-affirming-basic-psychological-needs-promotes-mental-well-being-during-the-covid-19-outbreak.pdf,1,"Katarzyna Cantarero,...",Affirming Basic Psychological Needs Prom...
disab,chandler-paolacci-2017-lie-for-a-dime-when-most-prescreening-responses-are-honest-but-most-study-participants-are.pdf,4,Jesse J. Chandler an...,Lie for a Dime
accessib,cheek-norem-2019-are-big-five-traits-and-facets-associated-with-anchoring-susceptibility.pdf,7,Nathan N. Cheek and ...,Are Big Five Traits and Facets Associate...
accessib,cheek-norem-2019-are-big-five-traits-and-facets-associated-with-anchoring-susceptibility.pdf,8,Nathan N. Cheek and ...,Are Big Five Traits and Facets Associate...
accessib,chen-et-al-2017-to-be-or-not-to-be-black-or-multiracial-or-white-cultural-variation-in-racial-boundaries.pdf,7,"Jacqueline M. Chen, ...",To Be or Not to Be (Black or Multiracial...
accessib,chen-et-al-2020-is-it-cultural-context-or-cultural-value-unpackaging-cultural-influences-on-stigma-toward-mental.pdf,3,"Sylvia Xiaohua Chen,...",Is It Cultural Context or Cultural Value...
Defect,chen-et-al-2020-is-it-cultural-context-or-cultural-value-unpackaging-cultural-influences-on-stigma-toward-mental.pdf,7,"Sylvia Xiaohua Chen,...",Is It Cultural Context or Cultural Value...
accessib,cheung-et-al-2017-back-to-the-future-methodologies-that-capture-real-people-in-the-real-world.pdf,3,"Ho Kwan Cheung, Mikk...",Back to the Future
accessib,cheung-et-al-2017-back-to-the-future-methodologies-that-capture-real-people-in-the-real-world.pdf,4,"Ho Kwan Cheung, Mikk...",Back to the Future
Syndrome,chmielewski-kucker-2019-an-mturk-crisis-shifts-in-data-quality-and-the-impact-on-study-results.pdf,3,Michael Chmielewski ...,An MTurk Crisis? Shifts in Data Quality ...
accessib,christy-et-al-2017-the-reciprocal-relationship-between-perceptions-of-moral-goodness-and-knowledge-of-others-true-selves.pdf,7,"Andrew G. Christy, J...",The Reciprocal Relationship Between Perc...
maim,cipollina-et-al-2021-disclosure-style-and-response-engagement-during-disclosures-of-concealable-stigmatized-identities.pdf,1,"Rebecca Cipollina, D...",Disclosure Style and Response Engagement...
maim,cipollina-et-al-2021-disclosure-style-and-response-engagement-during-disclosures-of-concealable-stigmatized-identities.pdf,8,"Rebecca Cipollina, D...",Disclosure Style and Response Engagement...
maim,cipollina-et-al-2021-disclosure-style-and-response-engagement-during-disclosures-of-concealable-stigmatized-identities.pdf,10,"Rebecca Cipollina, D...",Disclosure Style and Response Engagement...
accessib,colman-et-al-2017-seeing-and-feeling-your-way-to-accurate-personality-judgments-the-moderating-role-of-perceiver.pdf,9,"Douglas E. Colman, T...",Seeing and Feeling Your Way to Accurate ...
afflict,cooley-et-al-2020-investigating-the-health-consequences-for-white-americans-who-believe-white-americans-are-wealthy.pdf,8,"Erin Cooley, Jazmin ...",Investigating the Health Consequences fo...
\blame,costello-lilienfeld-2020-social-and-economic-political-ideology-consistently-operate-as-mutual-suppressors-implications.pdf,1,Thomas H. Costello a...,Social and Economic Political Ideology C...
\blame,costello-lilienfeld-2020-social-and-economic-political-ideology-consistently-operate-as-mutual-suppressors-implications.pdf,11,Thomas H. Costello a...,Social and Economic Political Ideology C...
Syndrome,costello-lilienfeld-2020-social-and-economic-political-ideology-consistently-operate-as-mutual-suppressors-implications.pdf,1,Thomas H. Costello a...,Social and Economic Political Ideology C...
Syndrome,costello-lilienfeld-2020-social-and-economic-political-ideology-consistently-operate-as-mutual-suppressors-implications.pdf,11,Thomas H. Costello a...,Social and Economic Political Ideology C...
disab,crandall-et-al-2018-changing-norms-following-the-2016-u-s-presidential-election-the-trump-effect-on-prejudice.pdf,2,Christian S. Crandal...,Changing Norms Following the 2016 U.S. P...
disab,crandall-et-al-2018-changing-norms-following-the-2016-u-s-presidential-election-the-trump-effect-on-prejudice.pdf,4,Christian S. Crandal...,Changing Norms Following the 2016 U.S. P...
disab,crandall-et-al-2018-changing-norms-following-the-2016-u-s-presidential-election-the-trump-effect-on-prejudice.pdf,6,Christian S. Crandal...,Changing Norms Following the 2016 U.S. P...
\babled,crandall-et-al-2018-changing-norms-following-the-2016-u-s-presidential-election-the-trump-effect-on-prejudice.pdf,5,Christian S. Crandal...,Changing Norms Following the 2016 U.S. P...
accessib,dalege-et-al-2017-network-analysis-on-attitudes-a-brief-tutorial.pdf,9,"Jonas Dalege, Denny ...",Network Analysis on Attitudes
accessib,dalege-et-al-2018-a-network-perspective-on-attitude-strength-testing-the-connectivity-hypothesis.pdf,1,"Jonas Dalege, Denny ...",A Network Perspective on Attitude Streng...
accessib,dalege-et-al-2018-a-network-perspective-on-attitude-strength-testing-the-connectivity-hypothesis.pdf,8,"Jonas Dalege, Denny ...",A Network Perspective on Attitude Streng...
accessib,dalege-et-al-2018-a-network-perspective-on-attitude-strength-testing-the-connectivity-hypothesis.pdf,9,"Jonas Dalege, Denny ...",A Network Perspective on Attitude Streng...
accessib,dalege-et-al-2018-a-network-perspective-on-attitude-strength-testing-the-connectivity-hypothesis.pdf,10,"Jonas Dalege, Denny ...",A Network Perspective on Attitude Streng...
Syndrome,daniel-et-al-2021-changes-in-personal-values-in-pandemic-times.pdf,9,"Ella Daniel, Anat Ba...",Changes in Personal Values in Pandemic T...
Dysfunction,de-moor-et-al-2018-linking-stressful-experiences-and-psychological-problems-the-role-of-self-esteem.pdf,8,Elisabeth L. de Moor...,Linking Stressful Experiences and Psycho...
Defect,demarco-newheiser-2017-coping-with-group-members-who-insult-the-in-group.pdf,10,Tina C. DeMarco and ...,Coping With Group Members Who Insult the...
Impairment,deska-et-al-2016-of-mannequins-and-men-ascriptions-of-mind-in-faces-are-bounded-by-perceptual-and-processing.pdf,7,"Jason C. Deska, Stev...",Of Mannequins and Men
disab,dilorenzo-et-al-2017-presence-of-an-attachment-figure-is-associated-with-greater-sensitivity-to-physical-pain-following.pdf,8,Miranda G. DiLorenzo...,Presence of an Attachment Figure Is Asso...
Syndrome,dilorenzo-et-al-2017-presence-of-an-attachment-figure-is-associated-with-greater-sensitivity-to-physical-pain-following.pdf,2,Miranda G. DiLorenzo...,Presence of an Attachment Figure Is Asso...
Syndrome,dinulescu-et-al-2020-self-referential-processing-predicts-social-cognitive-ability.pdf,8,"Stejara Dinulescu, T...",Self-Referential Processing Predicts Soc...
neurotyp,dinulescu-et-al-2020-self-referential-processing-predicts-social-cognitive-ability.pdf,3,"Stejara Dinulescu, T...",Self-Referential Processing Predicts Soc...
neurotyp,dinulescu-et-al-2020-self-referential-processing-predicts-social-cognitive-ability.pdf,7,"Stejara Dinulescu, T...",Self-Referential Processing Predicts Soc...
accessib,dong-et-al-2021-culture-status-and-hypocrisy-high-status-people-who-don-t-practice-what-they-preach-are-viewed-as-worse.pdf,8,"Mengchen Dong, Jan-W...","Culture, Status, and Hypocrisy: High-Sta..."
Syndrome,dufner-et-al-2019-the-end-of-a-stereotype-only-children-are-not-more-narcissistic-than-people-with-siblings.pdf,9,"Michael Dufner, Mitj...",The End of a Stereotype: Only Children A...
accessib,dunlop-et-al-2017-when-i-think-of-you-i-project-myself-examining-idiographic-goals-from-the-perspective-of-self-and.pdf,7,"William L. Dunlop, T...",When I Think of You I Project Myself
Chronic illness,dunlop-et-al-2017-when-i-think-of-you-i-project-myself-examining-idiographic-goals-from-the-perspective-of-self-and.pdf,2,"William L. Dunlop, T...",When I Think of You I Project Myself
accessib,elmore-luna-lucero-2016-light-bulbs-or-seeds-how-metaphors-for-ideas-influence-judgments-about-genius.pdf,1,Kristen C. Elmore an...,Light Bulbs or Seeds? How Metaphors for ...
accessib,elmore-luna-lucero-2016-light-bulbs-or-seeds-how-metaphors-for-ideas-influence-judgments-about-genius.pdf,2,Kristen C. Elmore an...,Light Bulbs or Seeds? How Metaphors for ...
accessib,elmore-luna-lucero-2016-light-bulbs-or-seeds-how-metaphors-for-ideas-influence-judgments-about-genius.pdf,7,Kristen C. Elmore an...,Light Bulbs or Seeds? How Metaphors for ...
Dysfunction,entringer-gosling-2021-loneliness-during-a-nationwide-lockdown-and-the-moderating-effect-of-extroversion.pdf,2,Theresa M. Entringer...,Loneliness During a Nationwide Lockdown ...
deficien,entringer-gosling-2021-loneliness-during-a-nationwide-lockdown-and-the-moderating-effect-of-extroversion.pdf,1,Theresa M. Entringer...,Loneliness During a Nationwide Lockdown ...
deficien,entringer-gosling-2021-loneliness-during-a-nationwide-lockdown-and-the-moderating-effect-of-extroversion.pdf,2,Theresa M. Entringer...,Loneliness During a Nationwide Lockdown ...
accessib,faure-et-al-2021-implicit-ambivalence-a-driving-force-to-improve-relationship-problems.pdf,9,"Ruddy Faure, James K...",Implicit Ambivalence: A Driving Force to...
afflict,federico-et-al-2020-collective-narcissism-in-group-satisfaction-and-solidarity-in-the-face-of-covid-19.pdf,3,Christopher M. Feder...,"Collective Narcissism, In-Group Satisfac..."
Syndrome,feldman-et-al-2017-frankly-we-do-give-a-damn-the-relationship-between-profanity-and-honesty.pdf,1,"Gilad Feldman, Huiwe...","Frankly, We Do Give a Damn"
Syndrome,feldman-et-al-2017-frankly-we-do-give-a-damn-the-relationship-between-profanity-and-honesty.pdf,9,"Gilad Feldman, Huiwe...","Frankly, We Do Give a Damn"
Handicap,ferguson-et-al-2018-costless-and-costly-prosociality-correspondence-among-personality-traits-economic-preferences-and.pdf,11,"Eamonn Ferguson, Kun...",Costless and Costly Prosociality: Corres...
accessib,fischer-karl-2021-predicting-behavioral-intentions-to-prevent-or-mitigate-covid-19-a-cross-cultural-meta-analysis-of.pdf,3,Ronald Fischer and J...,Predicting Behavioral Intentions to Prev...
accessib,flake-et-al-2017-construct-validation-in-social-and-personality-research-current-practice-and-recommendations.pdf,9,"Jessica K. Flake, Jo...",Construct Validation in Social and Perso...
accessib,fleischmann-et-al-2017-paradoxical-effects-of-power-on-moral-thinking-why-power-both-increases-and-decreases.pdf,10,Alexandra Fleischman...,Paradoxical Effects of Power on Moral Th...
\blame,formanowicz-2020-verb-intergroup-bias-verbs-are-used-more-often-in-reference-to-in-groups-than-out-groups.pdf,3,Magdalena Formanowic...,Verb Intergroup Bias: Verbs Are Used Mor...
\blame,formanowicz-2020-verb-intergroup-bias-verbs-are-used-more-often-in-reference-to-in-groups-than-out-groups.pdf,9,Magdalena Formanowic...,Verb Intergroup Bias: Verbs Are Used Mor...
Impairment,formanowicz-2020-verb-intergroup-bias-verbs-are-used-more-often-in-reference-to-in-groups-than-out-groups.pdf,2,Magdalena Formanowic...,Verb Intergroup Bias: Verbs Are Used Mor...
accessib,formanowicz-2020-verb-intergroup-bias-verbs-are-used-more-often-in-reference-to-in-groups-than-out-groups.pdf,8,Magdalena Formanowic...,Verb Intergroup Bias: Verbs Are Used Mor...
Defect,formanowicz-2020-verb-intergroup-bias-verbs-are-used-more-often-in-reference-to-in-groups-than-out-groups.pdf,8,Magdalena Formanowic...,Verb Intergroup Bias: Verbs Are Used Mor...
Handicap,forsberg-et-al-2018-moral-dichotomization-at-the-heart-of-prejudice-the-role-of-moral-foundations-and-intolerance-of.pdf,4,"Erik Forsberg, Artur...",Moral Dichotomization at the Heart of Pr...
accessib,fourakis-cone-2019-matters-order-the-role-of-information-order-on-implicit-impression-formation.pdf,8,Eva Fourakis and Jer...,Matters Order: The Role of Information O...
deficien,fredman-et-al-2017-god-or-country-fusion-with-judaism-predicts-desire-for-retaliation-following-palestinian-stabbing.pdf,1,"Leah A. Fredman, Bro...",God or Country? Fusion With Judaism Pred...
feebl,frimer-2018-does-the-left-hair-part-look-better-or-worse-than-the-right.pdf,1,Jeremy A. Frimer,Does the Left Hair Part Look Better (or ...
Dysfunction,gampa-et-al-2019-ideo-logical-reasoning-ideology-impairs-sound-reasoning.pdf,1,"Anup Gampa, Sean P. ...",(Ideo)Logical Reasoning: Ideology Impair...
accessib,genschow-lange-2022-belief-in-free-will-is-related-to-internal-attribution-in-self-perception.pdf,3,Oliver Genschow and ...,Belief in Free Will Is Related to Intern...
disab,gernsbacher-et-al-2019-autistic-people-do-enhance-their-selves.pdf,2,Morton Ann Gernsbach...,Autistic People Do Enhance Their Selves
disab,gernsbacher-et-al-2019-autistic-people-do-enhance-their-selves.pdf,5,Morton Ann Gernsbach...,Autistic People Do Enhance Their Selves
disab,gernsbacher-et-al-2019-autistic-people-do-enhance-their-selves.pdf,7,Morton Ann Gernsbach...,Autistic People Do Enhance Their Selves
disab,gernsbacher-et-al-2019-autistic-people-do-enhance-their-selves.pdf,8,Morton Ann Gernsbach...,Autistic People Do Enhance Their Selves
disab,gernsbacher-et-al-2019-autistic-people-do-enhance-their-selves.pdf,9,Morton Ann Gernsbach...,Autistic People Do Enhance Their Selves
disab,gernsbacher-et-al-2019-autistic-people-do-enhance-their-selves.pdf,11,Morton Ann Gernsbach...,Autistic People Do Enhance Their Selves
\blame,gernsbacher-et-al-2019-autistic-people-do-enhance-their-selves.pdf,1,Morton Ann Gernsbach...,Autistic People Do Enhance Their Selves
accessib,gernsbacher-et-al-2019-autistic-people-do-enhance-their-selves.pdf,5,Morton Ann Gernsbach...,Autistic People Do Enhance Their Selves
accessib,gernsbacher-et-al-2019-autistic-people-do-enhance-their-selves.pdf,6,Morton Ann Gernsbach...,Autistic People Do Enhance Their Selves
person-first,gernsbacher-et-al-2019-autistic-people-do-enhance-their-selves.pdf,9,Morton Ann Gernsbach...,Autistic People Do Enhance Their Selves
person-first,gernsbacher-et-al-2019-autistic-people-do-enhance-their-selves.pdf,10,Morton Ann Gernsbach...,Autistic People Do Enhance Their Selves
Syndrome,gernsbacher-et-al-2019-autistic-people-do-enhance-their-selves.pdf,9,Morton Ann Gernsbach...,Autistic People Do Enhance Their Selves
accessib,gheorghiu-et-al-2019-a-thin-slice-of-science-communication-are-people-s-evaluations-of-ted-talks-predicted-by.pdf,2,"Ana I. Gheorghiu, Mi...",A Thin Slice of Science Communication: A...
accessib,gheorghiu-et-al-2019-a-thin-slice-of-science-communication-are-people-s-evaluations-of-ted-talks-predicted-by.pdf,7,"Ana I. Gheorghiu, Mi...",A Thin Slice of Science Communication: A...
deficien,girme-et-al-2021-unsupported-and-stigmatized-the-association-between-relationship-status-and-well-being-is-mediated-by.pdf,2,"Yuthika U. Girme, Ch...",Unsupported and Stigmatized? The Associa...
\blame,gollwitzer-et-al-2021-does-lockdown-compliance-reflect-a-latent-trait.pdf,7,"Mario Gollwitzer, Ch...",Does Lockdown Compliance Reflect a Laten...
accessib,gollwitzer-et-al-2021-linking-self-reported-social-distancing-to-real-world-behavior-during-the-covid-19-pandemic.pdf,9,"Anton Gollwitzer, Ki...",Linking Self-Reported Social Distancing ...
accessib,gomila-et-al-2017-the-audio-check-a-method-for-improving-data-quality-and-detecting-data-fabrication.pdf,2,"Robin Gomila, Rebecc...",The Audio Check
Syndrome,gul-et-al-2021-disease-avoidance-motives-trade-off-against-social-motives-especially-mate-seeking-to-predict-social.pdf,12,"Pelin Gul, Nils Kees...",Disease Avoidance Motives Trade-Off Agai...
accessib,gustafsson-senden-et-al-2019-of-caring-nurses-and-assertive-police-officers-social-role-information-overrides-gender.pdf,7,Marie Gustafsson Sen...,Of Caring Nurses and Assertive Police Of...
Syndrome,hakim-et-al-2016-do-easterners-and-westerners-differ-in-visual-cognition-a-preregistered-examination-of-three-visual.pdf,11,"Nicole Hakim, Daniel...",Do Easterners and Westerners Differ in V...
accessib,halali-et-al-2017-more-for-us-or-more-for-me-social-dominance-as-parochial-egoism.pdf,1,"Eliran Halali, Anna ...",More for Us or More for Me? Social Domin...
Impairment,hall-et-al-2018-decoding-the-dynamics-of-social-identity-threat-in-the-workplace-a-within-person-analysis-of-women-s.pdf,2,"William Hall, Toni S...",Decoding the Dynamics of Social Identity...
disab,han-et-al-2020-feelings-of-annoyance-and-spoken-anger-words-in-couples-everyday-lives-the-role-of-family-of-origin.pdf,3,"Sohyun C. Han, Hanna...",Feelings of Annoyance and Spoken Anger W...
Dysfunction,han-et-al-2020-feelings-of-annoyance-and-spoken-anger-words-in-couples-everyday-lives-the-role-of-family-of-origin.pdf,9,"Sohyun C. Han, Hanna...",Feelings of Annoyance and Spoken Anger W...
Dysfunction,hannay-et-al-2021-economic-inequality-and-the-pursuit-of-pleasure.pdf,10,"Jason W. Hannay, B. ...",Economic Inequality and the Pursuit of P...
Impairment,harari-et-al-2017-an-evaluation-of-students-interest-in-and-compliance-with-self-tracking-methods-recommendations-for.pdf,13,"Gabriella M. Harari,...",An Evaluation of Students Interest in a...
deficien,harari-et-al-2017-an-evaluation-of-students-interest-in-and-compliance-with-self-tracking-methods-recommendations-for.pdf,13,"Gabriella M. Harari,...",An Evaluation of Students Interest in a...
Syndrome,harari-et-al-2017-an-evaluation-of-students-interest-in-and-compliance-with-self-tracking-methods-recommendations-for.pdf,13,"Gabriella M. Harari,...",An Evaluation of Students Interest in a...
accessib,harp-et-al-2020-spring-break-or-heart-break-extending-valence-bias-to-emotional-words.pdf,3,"Nicholas R. Harp, Ca...",Spring Break or Heart Break? Extending V...
accessib,hasan-aslih-et-al-2020-the-quest-for-hope-disadvantaged-group-members-can-fulfill-their-desire-to-feel-hope-but-only.pdf,8,"Siwar Hasan-Aslih, E...",The Quest for Hope: Disadvantaged Group ...
accessib,hauser-schwarz-2020-situated-embodiment-when-physical-weight-does-and-does-not-inform-judgments-of-importance.pdf,1,David J. Hauser and ...,Situated Embodiment: When Physical Weigh...
accessib,hauser-schwarz-2020-situated-embodiment-when-physical-weight-does-and-does-not-inform-judgments-of-importance.pdf,2,David J. Hauser and ...,Situated Embodiment: When Physical Weigh...
accessib,hauser-schwarz-2020-situated-embodiment-when-physical-weight-does-and-does-not-inform-judgments-of-importance.pdf,4,David J. Hauser and ...,Situated Embodiment: When Physical Weigh...
accessib,hauser-schwarz-2020-situated-embodiment-when-physical-weight-does-and-does-not-inform-judgments-of-importance.pdf,6,David J. Hauser and ...,Situated Embodiment: When Physical Weigh...
accessib,hauser-schwarz-2020-situated-embodiment-when-physical-weight-does-and-does-not-inform-judgments-of-importance.pdf,7,David J. Hauser and ...,Situated Embodiment: When Physical Weigh...
feebl,hauser-schwarz-2020-situated-embodiment-when-physical-weight-does-and-does-not-inform-judgments-of-importance.pdf,6,David J. Hauser and ...,Situated Embodiment: When Physical Weigh...
accessib,heffernan-et-al-2018-are-people-attracted-to-others-who-resemble-their-opposite-sex-parents-an-examination-of-mate.pdf,2,"Marie E. Heffernan, ...",Are People Attracted to Others Who Resem...
disab,hehman-et-al-2020-using-environmental-features-to-maximize-prediction-of-regional-intergroup-bias.pdf,2,"Eric Hehman, Eugene ...",Using Environmental Features to Maximize...
disab,hehman-et-al-2020-using-environmental-features-to-maximize-prediction-of-regional-intergroup-bias.pdf,3,"Eric Hehman, Eugene ...",Using Environmental Features to Maximize...
disab,hehman-et-al-2020-using-environmental-features-to-maximize-prediction-of-regional-intergroup-bias.pdf,5,"Eric Hehman, Eugene ...",Using Environmental Features to Maximize...
disab,hehman-et-al-2020-using-environmental-features-to-maximize-prediction-of-regional-intergroup-bias.pdf,6,"Eric Hehman, Eugene ...",Using Environmental Features to Maximize...
disab,hehman-et-al-2020-using-environmental-features-to-maximize-prediction-of-regional-intergroup-bias.pdf,7,"Eric Hehman, Eugene ...",Using Environmental Features to Maximize...
disab,hehman-et-al-2020-using-environmental-features-to-maximize-prediction-of-regional-intergroup-bias.pdf,9,"Eric Hehman, Eugene ...",Using Environmental Features to Maximize...
\babled,hehman-et-al-2020-using-environmental-features-to-maximize-prediction-of-regional-intergroup-bias.pdf,2,"Eric Hehman, Eugene ...",Using Environmental Features to Maximize...
\babled,hehman-et-al-2020-using-environmental-features-to-maximize-prediction-of-regional-intergroup-bias.pdf,3,"Eric Hehman, Eugene ...",Using Environmental Features to Maximize...
\babled,hehman-et-al-2020-using-environmental-features-to-maximize-prediction-of-regional-intergroup-bias.pdf,5,"Eric Hehman, Eugene ...",Using Environmental Features to Maximize...
