"","X","DOI","Title","trimmed_title","CombinedCites","CombinedAuthors","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","DOI_missing","CitationURL","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","FullTextURL","RelatedURL"
"221",221,"10.1177/0146167218769869","People as means to multiple goals: Implications for interpersonal relationships","people as means to multiple goals implications for",40,"E Orehek, AL Forest…",2018,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167218769869","https://scholar.google.com/scholar?cites=15251408633692272344&as_sdt=2005&sciodt=0,5&hl=en",56,FALSE,NA,40,8,13,3,5,"The present research examines the implications of having relationship partners who serve as means to multiple goals. Specifically, we test the hypotheses that (a) partners who serve …","https://www.researchgate.net/profile/Edward-Orehek/publication/325067247_People_as_Means_to_Multiple_Goals_Implications_for_Interpersonal_Relationships/links/5b17d2c9aca272021ce9183f/People-as-Means-to-Multiple-Goals-Implications-for-Interpersonal-Relationships.pdf","https://scholar.google.com/scholar?q=related:2LaNz1jjp9MJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
"233",233,"10.1177/0146167218775075","Moral punishment in everyday life","moral punishment in everyday life",90,"W Hofmann, MJ Brandt, DC Wisneski…",2018,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167218775075","https://scholar.google.com/scholar?cites=11101287284642382507&as_sdt=2005&sciodt=0,5&hl=en",13,FALSE,NA,90,18,23,4,5,"The present research investigated event-related, contextual, demographic, and dispositional predictors of the desire to punish perpetrators of immoral deeds in daily life, as well as …","https://lskitka.people.uic.edu/Hofmannetal2018.pdf","https://scholar.google.com/scholar?q=related:q4Kr3vexD5oJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
"236",236,"10.1177/0146167218775695","Implementation intentions reduce implicit stereotype activation and application","implementation intentions reduce implicit stereoty",13,"HR Rees, AM Rivers…",2019,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167218775695","https://scholar.google.com/scholar?cites=3952387312885271394&as_sdt=2005&sciodt=0,5&hl=en",100,FALSE,NA,13,3.25,4,3,4,"Research has found that implementation intentions, if–then action plans (eg,“if I see a Black face, I will think safe”), reduce stereotyping on implicit measures. However, it is unknown by …","https://journals.sagepub.com/doi/pdf/10.1177/0146167218775695","https://scholar.google.com/scholar?q=related:YotJB1Kz2TYJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
"251",251,"10.1177/0146167218783192","Cognitive reflection and the 2016 US Presidential election","cognitive reflection and the 2016 us presidential ",110,"G Pennycook, DG Rand",2019,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167218783192","https://scholar.google.com/scholar?cites=18176725323652589907&as_sdt=2005&sciodt=0,5&hl=en",7,FALSE,NA,110,27.5,55,2,4,"We present a large exploratory study (N= 15,001) investigating the relationship between cognitive reflection and political affiliation, ideology, and voting in the 2016 Presidential …","https://journals.sagepub.com/doi/pdf/10.1177/0146167218783192","https://scholar.google.com/scholar?q=related:U-kooGCzQPwJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
"269",269,"10.1177/0146167218789071","Do happy events love company? Cultural variations in sharing positive events with others","do happy events love company cultural variations i",30,"H Choi, S Oishi, J Shin, EM Suh",2019,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167218789071","https://scholar.google.com/scholar?cites=15184008496512376827&as_sdt=2005&sciodt=0,5&hl=en",51,FALSE,NA,30,7.5,8,4,4,"The present study examined cultural differences in the act of sharing positive events with others, called capitalization attempts. The first three studies tested whether capitalization …","https://www.researchgate.net/profile/Hyewon-Choi/publication/327210960_Do_Happy_Events_Love_Company_Cultural_Variations_in_Sharing_Positive_Events_With_Others/links/640b1932a1b72772e4eac2b9/Do-Happy-Events-Love-Company-Cultural-Variations-in-Sharing-Positive-Events-With-Others.pdf","https://scholar.google.com/scholar?q=related:-x8ifUdvuNIJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
"284",284,"10.1177/0146167218796473","Ego depletion reduces attention control: Evidence from two high-powered preregistered experiments","ego depletion reduces attention control evidence f",98,"KE Garrison, AJ Finley…",2019,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167218796473","https://scholar.google.com/scholar?cites=10027230621689122005&as_sdt=2005&sciodt=0,5&hl=en",12,FALSE,NA,98,24.5,33,3,4,"Two preregistered experiments with more than 1,000 participants in total found evidence of an ego depletion effect on attention control. Participants who exercised self-control on a …","https://osf.io/pgny3/download","https://scholar.google.com/scholar?q=related:1Qyzth_hJ4sJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
"293",293,"10.1177/0146167218798822","The effect of ideological identification on the endorsement of moral values depends on the target group","the effect of ideological identification on the en",40,"JG Voelkel, MJ Brandt",2019,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167218798822","https://scholar.google.com/scholar?cites=15761656249365256028&as_sdt=2005&sciodt=0,5&hl=en",48,FALSE,NA,40,10,20,2,4,"Research suggests that liberals and conservatives use different moral foundations to reason about moral issues (moral divide hypothesis). An alternative prediction is that observed …","https://journals.sagepub.com/doi/full/10.1177/0146167218798822","https://scholar.google.com/scholar?q=related:XFc7l9mmvNoJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
"295",295,"10.1177/0146167218799307","What cognitive mechanisms do people reflect on when they predict IAT scores?","what cognitive mechanisms do people reflect on whe",18,"AM Rivers, A Hahn",2019,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167218799307","https://scholar.google.com/scholar?cites=3431668261693921197&as_sdt=2005&sciodt=0,5&hl=en",77,FALSE,NA,18,4.5,9,2,4,"Research indicates that individuals can prospectively predict biases they will show on the implicit-association test (IAT). The present study uses the Quadruple process model to …","https://open.library.ubc.ca/media/download/pdf/52383/1.0378609/5","https://scholar.google.com/scholar?q=related:rZc_LRq8ny8J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
"296",296,"10.1177/0146167218799309","Psychological distance promotes exploration in search of a global maximum","psychological distance promotes exploration in sea",46,"DA Yudkin, R Pick, EY Hur…",2019,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167218799309","https://scholar.google.com/scholar?cites=5193967659850509743&as_sdt=2005&sciodt=0,5&hl=en",37,FALSE,NA,46,11.5,12,4,4,"Agents must sometimes decide whether to exploit a known resource or search for potentially more profitable options. Here, we investigate the role of psychological distancing in …","https://psyarxiv.com/agbp9/download/?format=pdf","https://scholar.google.com/scholar?q=related:r61BXBGuFEgJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
"297",297,"10.1177/0146167218799717","Nostalgia increases financial risk taking","nostalgia increases financial risk taking",30,"X Zou, M Lee, T Wildschut…",2019,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167218799717","https://scholar.google.com/scholar?cites=10801496711954054246&as_sdt=2005&sciodt=0,5&hl=en",63,FALSE,NA,30,7.5,8,4,4,"We examined, in five studies, the relation between nostalgia and financial risk taking. We hypothesized that nostalgia increases risk taking by fostering perceptions of social support …","https://www.researchgate.net/profile/Xi-Zou-8/publication/327621897_Nostalgia_Increases_Financial_Risk_Taking/links/5bc43bdd458515a7a9e7a964/Nostalgia-Increases-Financial-Risk-Taking.pdf","https://scholar.google.com/scholar?q=related:ZjyS3geg5pUJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
"303",303,"10.1177/0146167218802836","Aftereffects of self-control on positive emotional reactivity","aftereffects of selfcontrol on positive emotional ",13,"AJ Finley, BJ Schmeichel",2019,"… and Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167218802836","https://scholar.google.com/scholar?cites=11938478543959938189&as_sdt=2005&sciodt=0,5&hl=en",90,FALSE,NA,13,3.25,7,2,4,"According to the process model of ego depletion, exercising self-control causes shifts in motivation and attention that may increase positive emotional reactivity. In an initial study …","https://psyarxiv.com/9ks3v/download?format=pdf","https://scholar.google.com/scholar?q=related:jdRao_v-raUJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
"313",313,"10.1177/0146167218808501","A status-seeking account of psychological entitlement","a statusseeking account of psychological entitleme",70,"J Lange, L Redford, J Crusius",2019,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167218808501","https://scholar.google.com/scholar?cites=15740494331327225359&as_sdt=2005&sciodt=0,5&hl=en",17,FALSE,NA,70,17.5,23,3,4,"We propose that people high in entitlement are characterized by motivation to attain status. Five studies (total N= 2,372) support that entitlement promotes motivation to seek status …","https://journals.sagepub.com/doi/pdf/10.1177/0146167218808501","https://scholar.google.com/scholar?q=related:Dx7PlzJ4cdoJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
"316",316,"10.1177/0146167218809705","Extremists on the left and right use angry, negative language","extremists on the left and right use angry negativ",56,"JA Frimer, MJ Brandt, Z Melton…",2019,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167218809705","https://scholar.google.com/scholar?cites=17806052352152044237&as_sdt=2005&sciodt=0,5&hl=en",26,FALSE,NA,56,14,14,4,4,"We propose that political extremists use more negative language than moderates. Previous research found that conservatives report feeling happier than liberals and yet liberals …","https://osf.io/2y7cv/download","https://scholar.google.com/scholar?q=related:zQIIFkbOG_cJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
"318",318,"10.1177/0146167218814003","Reducing social judgment biases may require identifying the potential source of bias","reducing social judgment biases may require identi",30,"JR Axt, G Casola, BA Nosek",2019,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167218814003","https://scholar.google.com/scholar?cites=17548659757126429906&as_sdt=2005&sciodt=0,5&hl=en",64,FALSE,NA,30,7.5,10,3,4,"Social judgment is shaped by multiple biases operating simultaneously, but most bias-reduction interventions target only a single social category. In seven preregistered studies …","https://www.miclab.ca/s/reducing-social-judgment-biases-may-require-identifying-the-potential-source-of-bias.pdf","https://scholar.google.com/scholar?q=related:0qy2gxJdifMJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
"319",319,"10.1177/0146167218816327","Sadism and aggressive behavior: Inflicting pain to feel pleasure","sadism and aggressive behavior inflicting pain to ",93,"DS Chester, CN DeWall…",2019,"… social psychology bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167218816327","https://scholar.google.com/scholar?cites=4778007920350894468&as_sdt=2005&sciodt=0,5&hl=en",9,FALSE,NA,93,23.25,31,3,4,"Sadism is a “dark” trait that involves the experience of pleasure from others' pain, yet much is unknown about its link to aggression. Across eight studies (total N= 2,255), sadism predicted …","https://psyarxiv.com/cvgkb/download?format=pdf","https://scholar.google.com/scholar?q=related:hJmEeuPkTkIJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
"326",326,"10.1177/0146167218824354","What is central to political belief system networks?","what is central to political belief system network",101,"MJ Brandt, CG Sibley…",2019,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167218824354","https://scholar.google.com/scholar?cites=6371045241752393944&as_sdt=2005&sciodt=0,5&hl=en",11,FALSE,NA,101,25.25,34,3,4,"A central challenge for identifying core components of a belief system is examining the position of components within the structure of the entire belief system. We test whether …","https://journals.sagepub.com/doi/full/10.1177/0146167218824354","https://scholar.google.com/scholar?q=related:2BiYYuR_algJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
"365",365,"10.1177/0146167219853842","On the roles of stereotype activation and application in diminishing implicit bias","on the roles of stereotype activation and applicat",29,"AM Rivers, JW Sherman, HR Rees…",2020,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167219853842","https://scholar.google.com/scholar?cites=13675744246290698130&as_sdt=2005&sciodt=0,5&hl=en",60,FALSE,NA,29,9.67,7,4,3,"Stereotypes can influence social perception in undesirable ways. However, activated stereotypes are not always applied in judgments. The present research investigated how …","https://escholarship.org/content/qt47s62424/qt47s62424.pdf","https://scholar.google.com/scholar?q=related:ks8_T-8Ayr0J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
"366",366,"10.1177/0146167219853844","Investigating the robustness of the illusory truth effect across individual differences in cognitive ability, need for cognitive closure, and cognitive style","investigating the robustness of the illusory truth",83,"J De Keersmaecker, D Dunning…",2020,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167219853844","https://scholar.google.com/scholar?cites=8254807853672940798&as_sdt=2005&sciodt=0,5&hl=en",10,FALSE,NA,83,27.67,28,3,3,"People are more inclined to believe that information is true if they have encountered it before. Little is known about whether this illusory truth effect is influenced by individual …","https://biblio.ugent.be/publication/8653558/file/8653561.pdf","https://scholar.google.com/scholar?q=related:_sRHzwH4jnIJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
"385",385,"10.1177/0146167219862616","Are attitudes contagious? Exposure to biased nonverbal signals can create novel social attitudes","are attitudes contagious exposure to biased nonver",21,"AL Skinner, S Perry",2020,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167219862616","https://scholar.google.com/scholar?cites=17028554265201629551&as_sdt=2005&sciodt=0,5&hl=en",64,FALSE,NA,21,7,11,2,3,"Prior work has established that nonverbal signals that capitalize on existing cultural biases can shift attitudes toward members of familiar social groups (eg, racial minority group …",NA,"https://scholar.google.com/scholar?q=related:b1nOD-KTUewJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
"399",399,"10.1177/0146167219875141","How ambient cues facilitate political segregation","how ambient cues facilitate political segregation",13,"M Motyl, JP Prims, R Iyer",2020,"… and Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167219875141","https://scholar.google.com/scholar?cites=16695308788509314614&as_sdt=2005&sciodt=0,5&hl=en",89,FALSE,NA,13,4.33,4,3,3,"People increasingly self-segregate into politically homogeneous communities. How they do this remains unclear. We propose that people use ambient cues correlated with political …","https://psyarxiv.com/47zwv/download?format=pdf","https://scholar.google.com/scholar?q=related:Ng6OOuOmsecJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
"409",409,"10.1177/0146167219880186","Intergroup inequality heightens reports of discrimination along alternative identity dimensions","intergroup inequality heightens reports of discrim",17,"RM Brown, MA Craig",2020,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167219880186","https://scholar.google.com/scholar?cites=5466567898923103999&as_sdt=2005&sciodt=0,5&hl=en",68,FALSE,NA,17,5.67,9,2,3,"How do members of societally valued (dominant) groups respond when considering inequality? Prior research suggests that salient inequality may be viewed as a threat to …","https://par.nsf.gov/servlets/purl/10185278","https://scholar.google.com/scholar?q=related:_3bde4om3UsJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
"427",427,"10.1177/0146167219896136","Mindfulness and its association with varied types of motivation: A systematic review and meta-analysis using self-determination theory","mindfulness and its association with varied types ",111,"JN Donald, EL Bradshaw, RM Ryan…; JN Donald, EL Bradshaw…",2020,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167219896136","https://scholar.google.com/scholar?cites=4914100562751600263&as_sdt=2005&sciodt=0,5&hl=en",1,FALSE,NA,110,36.67,28,4,4,"Mindfulness has been shown to have varied associations with different forms of motivation, leading to a lack of clarity as to how and when it may foster healthy motivational states …","https://www.academia.edu/download/94767238/0146167219896136.pdf","https://scholar.google.com/scholar?q=related:hzZbAW1kMkQJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
"442",442,"10.1177/0146167220904512","Jealousy as a function of rival characteristics: Two large replication studies and meta-analyses support gender differences in reactions to rival attractiveness but not …","jealousy as a function of rival characteristics tw",11,"TV Pollet, TK Saxton",2020,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167220904512","https://scholar.google.com/scholar?cites=10123240419497736183&as_sdt=2005&sciodt=0,5&hl=en",95,FALSE,NA,11,3.67,6,2,3,"Jealousy is a key emotion studied in the context of romantic relationships. One seminal study (Dijkstra, P., &Buunk, B.(1998). Jealousy as a function of rival characteristics: An …","https://journals.sagepub.com/doi/pdf/10.1177/0146167220904512","https://scholar.google.com/scholar?q=related:9_cJvIb5fIwJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
